"Town","Pct Population 1-2x FPL Level","90% MoE"
"Connecticut",0.128,0.002
"Bethel",0.11,0.026
"Bridgeport",0.238,0.015
"Brookfield",0.049,0.013
"Danbury",0.171,0.022
"Darien",0.018,0.009
"Easton",0.016,0.01
"Fairfield",0.062,0.01
"Greenwich",0.072,0.011
"Monroe",0.089,0.029
"New Canaan",0.047,0.021
"New Fairfield",0.069,0.023
"Newtown",0.092,0.021
"Norwalk",0.116,0.015
"Redding",0.034,0.015
"Ridgefield",0.041,0.013
"Shelton",0.066,0.014
"Sherman",0.059,0.034
"Stamford",0.154,0.015
"Stratford",0.139,0.021
"Trumbull",0.062,0.014
"Weston",0.017,0.011
"Westport",0.032,0.012
"Wilton",0.038,0.012
"Avon",0.046,0.014
"Berlin",0.078,0.025
"Bloomfield",0.119,0.038
"Bristol",0.143,0.02
"Burlington",0.043,0.016
"Canton",0.058,0.022
"East Granby",0.065,0.032
"East Hartford",0.204,0.027
"East Windsor",0.145,0.053
"Enfield",0.102,0.016
"Farmington",0.053,0.014
"Glastonbury",0.075,0.015
"Granby",0.042,0.015
"Hartford",0.258,0.018
"Hartland",0.084,0.035
"Manchester",0.159,0.021
"Marlborough",0.077,0.062
"New Britain",0.236,0.022
"Newington",0.095,0.02
"Plainville",0.158,0.039
"Rocky Hill",0.101,0.028
"Simsbury",0.058,0.018
"Southington",0.081,0.013
"South Windsor",0.058,0.024
"Suffield",0.057,0.021
"West Hartford",0.101,0.014
"Wethersfield",0.09,0.018
"Windsor",0.09,0.019
"Windsor Locks",0.095,0.026
"Barkhamsted",0.024,0.016
"Bethlehem",0.119,0.066
"Bridgewater",0.149,0.062
"Canaan",0.156,0.059
"Colebrook",0.106,0.051
"Cornwall",0.111,0.035
"Goshen",0.08,0.041
"Harwinton",0.063,0.03
"Kent",0.135,0.065
"Litchfield",0.1,0.028
"Morris",0.122,0.048
"New Hartford",0.075,0.029
"New Milford",0.101,0.024
"Norfolk",0.15,0.064
"North Canaan",0.182,0.082
"Plymouth",0.122,0.037
"Roxbury",0.071,0.034
"Salisbury",0.129,0.062
"Sharon",0.172,0.072
"Thomaston",0.094,0.03
"Torrington",0.169,0.022
"Warren",0.076,0.039
"Washington",0.057,0.037
"Watertown",0.084,0.02
"Winchester",0.165,0.047
"Woodbury",0.088,0.029
"Chester",0.096,0.04
"Clinton",0.125,0.034
"Cromwell",0.093,0.03
"Deep River",0.16,0.09
"Durham",0.035,0.026
"East Haddam",0.075,0.03
"East Hampton",0.057,0.021
"Essex",0.067,0.031
"Haddam",0.048,0.034
"Killingworth",0.059,0.031
"Middlefield",0.096,0.04
"Middletown",0.129,0.019
"Old Saybrook",0.132,0.05
"Portland",0.055,0.018
"Westbrook",0.176,0.07
"Ansonia",0.161,0.044
"Beacon Falls",0.075,0.034
"Bethany",0.027,0.015
"Branford",0.088,0.017
"Cheshire",0.037,0.01
"Derby",0.146,0.051
"East Haven",0.13,0.027
"Guilford",0.058,0.016
"Hamden",0.121,0.017
"Madison",0.075,0.019
"Meriden",0.188,0.021
"Middlebury",0.088,0.04
"Milford",0.104,0.016
"Naugatuck",0.127,0.025
"New Haven",0.218,0.017
"North Branford",0.099,0.038
"North Haven",0.058,0.017
"Orange",0.045,0.014
"Oxford",0.041,0.019
"Prospect",0.061,0.021
"Seymour",0.09,0.023
"Southbury",0.104,0.027
"Wallingford",0.084,0.014
"Waterbury",0.207,0.016
"West Haven",0.192,0.025
"Wolcott",0.065,0.02
"Woodbridge",0.061,0.028
"Bozrah",0.108,0.057
"Colchester",0.089,0.027
"East Lyme",0.074,0.015
"Franklin",0.084,0.033
"Griswold",0.163,0.049
"Groton",0.147,0.022
"Lebanon",0.077,0.032
"Ledyard",0.071,0.03
"Lisbon",0.121,0.048
"Lyme",0.12,0.079
"Montville",0.111,0.032
"New London",0.202,0.034
"North Stonington",0.157,0.085
"Norwich",0.181,0.028
"Old Lyme",0.082,0.03
"Preston",0.157,0.077
"Salem",0.058,0.03
"Sprague",0.081,0.043
"Stonington",0.103,0.028
"Voluntown",0.113,0.059
"Waterford",0.088,0.022
"Andover",0.088,0.04
"Bolton",0.063,0.027
"Columbia",0.114,0.08
"Coventry",0.066,0.023
"Ellington",0.08,0.035
"Hebron",0.063,0.028
"Mansfield",0.112,0.033
"Somers",0.066,0.026
"Stafford",0.126,0.037
"Tolland",0.059,0.023
"Union",0.063,0.042
"Vernon",0.128,0.023
"Willington",0.122,0.052
"Ashford",0.161,0.087
"Brooklyn",0.181,0.071
"Canterbury",0.068,0.027
"Chaplin",0.081,0.041
"Eastford",0.074,0.03
"Hampton",0.078,0.029
"Killingly",0.17,0.033
"Plainfield",0.105,0.028
"Pomfret",0.049,0.027
"Putnam",0.268,0.064
"Scotland",0.132,0.063
"Sterling",0.146,0.072
"Thompson",0.139,0.041
"Windham",0.223,0.034
"Woodstock",0.078,0.033
