"Town","Pct Population below 200% FPL","90% MoE"
"Connecticut",0.23,0.003
"Bethel",0.149,0.029
"Bridgeport",0.472,0.022
"Brookfield",0.074,0.021
"Danbury",0.277,0.027
"Darien",0.084,0.028
"Easton",0.037,0.016
"Fairfield",0.108,0.014
"Greenwich",0.115,0.014
"Monroe",0.14,0.037
"New Canaan",0.071,0.023
"New Fairfield",0.085,0.024
"Newtown",0.138,0.028
"Norwalk",0.213,0.019
"Redding",0.069,0.024
"Ridgefield",0.072,0.017
"Shelton",0.113,0.017
"Sherman",0.082,0.039
"Stamford",0.266,0.02
"Stratford",0.201,0.024
"Trumbull",0.083,0.015
"Weston",0.035,0.015
"Westport",0.068,0.016
"Wilton",0.074,0.021
"Avon",0.087,0.022
"Berlin",0.126,0.033
"Bloomfield",0.187,0.043
"Bristol",0.248,0.025
"Burlington",0.079,0.025
"Canton",0.096,0.028
"East Granby",0.101,0.044
"East Hartford",0.338,0.034
"East Windsor",0.2,0.059
"Enfield",0.172,0.021
"Farmington",0.103,0.019
"Glastonbury",0.108,0.018
"Granby",0.063,0.018
"Hartford",0.595,0.025
"Hartland",0.135,0.042
"Manchester",0.263,0.028
"Marlborough",0.087,0.063
"New Britain",0.46,0.03
"Newington",0.139,0.023
"Plainville",0.225,0.045
"Rocky Hill",0.179,0.037
"Simsbury",0.078,0.019
"Southington",0.124,0.016
"South Windsor",0.103,0.036
"Suffield",0.099,0.036
"West Hartford",0.174,0.018
"Wethersfield",0.148,0.023
"Windsor",0.144,0.025
"Windsor Locks",0.174,0.039
"Barkhamsted",0.035,0.018
"Bethlehem",0.167,0.07
"Bridgewater",0.173,0.063
"Canaan",0.227,0.064
"Colebrook",0.143,0.054
"Cornwall",0.234,0.074
"Goshen",0.194,0.073
"Harwinton",0.106,0.039
"Kent",0.23,0.079
"Litchfield",0.169,0.039
"Morris",0.179,0.057
"New Hartford",0.099,0.033
"New Milford",0.159,0.029
"Norfolk",0.222,0.071
"North Canaan",0.274,0.099
"Plymouth",0.188,0.044
"Roxbury",0.103,0.037
"Salisbury",0.176,0.067
"Sharon",0.235,0.081
"Thomaston",0.123,0.032
"Torrington",0.28,0.029
"Warren",0.149,0.054
"Washington",0.113,0.047
"Watertown",0.116,0.023
"Winchester",0.235,0.054
"Woodbury",0.146,0.037
"Chester",0.146,0.047
"Clinton",0.201,0.042
"Cromwell",0.134,0.036
"Deep River",0.188,0.092
"Durham",0.045,0.027
"East Haddam",0.131,0.046
"East Hampton",0.092,0.026
"Essex",0.119,0.043
"Haddam",0.087,0.043
"Killingworth",0.062,0.031
"Middlefield",0.125,0.042
"Middletown",0.246,0.024
"Old Saybrook",0.186,0.057
"Portland",0.106,0.03
"Westbrook",0.224,0.075
"Ansonia",0.347,0.066
"Beacon Falls",0.106,0.04
"Bethany",0.06,0.022
"Branford",0.16,0.023
"Cheshire",0.062,0.013
"Derby",0.278,0.071
"East Haven",0.228,0.034
"Guilford",0.095,0.019
"Hamden",0.203,0.023
"Madison",0.103,0.027
"Meriden",0.333,0.028
"Middlebury",0.124,0.042
"Milford",0.157,0.019
"Naugatuck",0.226,0.034
"New Haven",0.483,0.024
"North Branford",0.129,0.042
"North Haven",0.097,0.021
"Orange",0.069,0.018
"Oxford",0.081,0.031
"Prospect",0.098,0.027
"Seymour",0.162,0.036
"Southbury",0.163,0.039
"Wallingford",0.145,0.019
"Waterbury",0.44,0.024
"West Haven",0.307,0.033
"Wolcott",0.094,0.025
"Woodbridge",0.087,0.039
"Bozrah",0.167,0.069
"Colchester",0.121,0.032
"East Lyme",0.108,0.019
"Franklin",0.124,0.039
"Griswold",0.246,0.057
"Groton",0.233,0.028
"Lebanon",0.125,0.039
"Ledyard",0.11,0.036
"Lisbon",0.148,0.052
"Lyme",0.157,0.082
"Montville",0.164,0.04
"New London",0.451,0.049
"North Stonington",0.214,0.097
"Norwich",0.331,0.039
"Old Lyme",0.113,0.036
"Preston",0.258,0.097
"Salem",0.085,0.034
"Sprague",0.168,0.07
"Stonington",0.149,0.031
"Voluntown",0.136,0.061
"Waterford",0.142,0.027
"Andover",0.131,0.057
"Bolton",0.082,0.03
"Columbia",0.154,0.082
"Coventry",0.097,0.028
"Ellington",0.1,0.036
"Hebron",0.076,0.029
"Mansfield",0.288,0.045
"Somers",0.109,0.031
"Stafford",0.221,0.045
"Tolland",0.08,0.026
"Union",0.071,0.044
"Vernon",0.221,0.031
"Willington",0.245,0.075
"Ashford",0.215,0.093
"Brooklyn",0.287,0.085
"Canterbury",0.099,0.035
"Chaplin",0.127,0.052
"Eastford",0.104,0.034
"Hampton",0.142,0.044
"Killingly",0.283,0.043
"Plainfield",0.203,0.042
"Pomfret",0.078,0.037
"Putnam",0.38,0.072
"Scotland",0.151,0.065
"Sterling",0.261,0.097
"Thompson",0.215,0.053
"Windham",0.47,0.05
"Woodstock",0.108,0.037
