"Town","Percent Population below Poverty Level","90% MoE"
"Connecticut",0.102,0.002
"Bethel",0.039,0.013
"Bridgeport",0.233,0.016
"Brookfield",0.026,0.016
"Danbury",0.106,0.015
"Darien",0.066,0.026
"Easton",0.021,0.013
"Fairfield",0.047,0.009
"Greenwich",0.044,0.008
"Monroe",0.051,0.023
"New Canaan",0.023,0.009
"New Fairfield",0.016,0.007
"Newtown",0.046,0.019
"Norwalk",0.097,0.012
"Redding",0.035,0.019
"Ridgefield",0.031,0.01
"Shelton",0.047,0.009
"Sherman",0.023,0.019
"Stamford",0.111,0.014
"Stratford",0.063,0.011
"Trumbull",0.021,0.006
"Weston",0.018,0.01
"Westport",0.035,0.01
"Wilton",0.037,0.017
"Avon",0.041,0.016
"Berlin",0.048,0.021
"Bloomfield",0.068,0.019
"Bristol",0.105,0.015
"Burlington",0.036,0.019
"Canton",0.038,0.018
"East Granby",0.036,0.031
"East Hartford",0.134,0.02
"East Windsor",0.055,0.024
"Enfield",0.07,0.013
"Farmington",0.05,0.013
"Glastonbury",0.032,0.01
"Granby",0.02,0.01
"Hartford",0.336,0.018
"Hartland",0.051,0.025
"Manchester",0.105,0.018
"Marlborough",0.01,0.011
"New Britain",0.224,0.021
"Newington",0.044,0.011
"Plainville",0.067,0.022
"Rocky Hill",0.078,0.024
"Simsbury",0.019,0.006
"Southington",0.043,0.01
"South Windsor",0.045,0.027
"Suffield",0.042,0.029
"West Hartford",0.073,0.011
"Wethersfield",0.058,0.015
"Windsor",0.053,0.016
"Windsor Locks",0.079,0.028
"Barkhamsted",0.012,0.008
"Bethlehem",0.048,0.023
"Bridgewater",0.024,0.014
"Canaan",0.071,0.028
"Colebrook",0.036,0.018
"Cornwall",0.123,0.068
"Goshen",0.115,0.061
"Harwinton",0.042,0.024
"Kent",0.094,0.045
"Litchfield",0.069,0.027
"Morris",0.057,0.031
"New Hartford",0.024,0.015
"New Milford",0.058,0.016
"Norfolk",0.072,0.035
"North Canaan",0.093,0.054
"Plymouth",0.066,0.024
"Roxbury",0.032,0.017
"Salisbury",0.047,0.026
"Sharon",0.063,0.038
"Thomaston",0.029,0.012
"Torrington",0.111,0.02
"Warren",0.073,0.039
"Washington",0.056,0.029
"Watertown",0.033,0.011
"Winchester",0.07,0.025
"Woodbury",0.059,0.023
"Chester",0.05,0.024
"Clinton",0.077,0.025
"Cromwell",0.042,0.02
"Deep River",0.028,0.018
"Durham",0.009,0.007
"East Haddam",0.056,0.035
"East Hampton",0.035,0.014
"Essex",0.052,0.03
"Haddam",0.039,0.027
"Killingworth",0.003,0.006
"Middlefield",0.028,0.013
"Middletown",0.117,0.016
"Old Saybrook",0.054,0.027
"Portland",0.051,0.024
"Westbrook",0.049,0.026
"Ansonia",0.186,0.05
"Beacon Falls",0.031,0.022
"Bethany",0.033,0.016
"Branford",0.072,0.016
"Cheshire",0.025,0.008
"Derby",0.133,0.05
"East Haven",0.098,0.021
"Guilford",0.037,0.01
"Hamden",0.082,0.015
"Madison",0.029,0.02
"Meriden",0.144,0.019
"Middlebury",0.036,0.013
"Milford",0.053,0.01
"Naugatuck",0.099,0.022
"New Haven",0.265,0.018
"North Branford",0.03,0.016
"North Haven",0.039,0.012
"Orange",0.024,0.011
"Oxford",0.04,0.025
"Prospect",0.038,0.016
"Seymour",0.072,0.028
"Southbury",0.059,0.028
"Wallingford",0.061,0.013
"Waterbury",0.233,0.018
"West Haven",0.116,0.021
"Wolcott",0.029,0.014
"Woodbridge",0.026,0.027
"Bozrah",0.059,0.04
"Colchester",0.032,0.017
"East Lyme",0.033,0.011
"Franklin",0.041,0.02
"Griswold",0.083,0.029
"Groton",0.086,0.017
"Lebanon",0.048,0.022
"Ledyard",0.039,0.021
"Lisbon",0.027,0.019
"Lyme",0.037,0.022
"Montville",0.053,0.024
"New London",0.249,0.036
"North Stonington",0.057,0.046
"Norwich",0.15,0.027
"Old Lyme",0.031,0.02
"Preston",0.102,0.059
"Salem",0.027,0.017
"Sprague",0.087,0.056
"Stonington",0.046,0.015
"Voluntown",0.023,0.015
"Waterford",0.054,0.014
"Andover",0.043,0.041
"Bolton",0.019,0.015
"Columbia",0.04,0.021
"Coventry",0.031,0.016
"Ellington",0.019,0.011
"Hebron",0.013,0.007
"Mansfield",0.176,0.033
"Somers",0.043,0.018
"Stafford",0.095,0.026
"Tolland",0.021,0.011
"Union",0.008,0.014
"Vernon",0.093,0.02
"Willington",0.123,0.054
"Ashford",0.055,0.031
"Brooklyn",0.106,0.048
"Canterbury",0.031,0.022
"Chaplin",0.046,0.033
"Eastford",0.03,0.018
"Hampton",0.064,0.033
"Killingly",0.113,0.028
"Plainfield",0.097,0.031
"Pomfret",0.029,0.025
"Putnam",0.112,0.034
"Scotland",0.02,0.015
"Sterling",0.115,0.066
"Thompson",0.076,0.033
"Windham",0.247,0.037
"Woodstock",0.03,0.017
