Town,Total Population,Total Population 90% MoE,Total Population in Poverty,Total Population in Poverty 90% MOE,Pct Population in Poverty,Pct Population in Poverty 90% MOE,Total Population Income 1-2x Poverty,Total Population Income 1-2x Poverty 90% MOE,Pct Population Income 1-2x Poverty,Pct Population Income 1-2x Poverty 90% MOE,Total Population Under 18,Total Population Under 18 90% MOE,Total Children in Poverty,Total Children in Poverty 90% MOE,Pct Children in Poverty,Pct Children in Poverty 90% MOE,Total Children Income 1-2x Poverty,Total Children Income 1-2x Poverty 90% MOE,Pct Children Income 1-2x Poverty,Pct Children Income 1-2x Poverty 90% MOE
Connecticut,3583561,0,354348,6822,0.102,0.002,444821,8127,0.128,0.002,804045,3326,107794,2985,0.136,0.004,119785,3000,0.151,0.004
Bethel,18887,29,732,246,0.039,0.013,2051,493,0.11,0.026,4375,417,236,112,0.054,0.026,613,171,0.14,0.041
Bridgeport,145587,59,33015,2289,0.233,0.016,33707,2169,0.238,0.015,37254,1211,12174,1069,0.332,0.031,11030,884,0.301,0.026
Brookfield,16614,28,424,267,0.026,0.016,808,223,0.049,0.013,3768,427,33,62,0.009,0.016,105,89,0.028,0.024
Danbury,81967,54,8293,1197,0.106,0.015,13468,1721,0.171,0.022,16806,907,1964,460,0.119,0.028,3854,636,0.233,0.04
Darien,20925,60,1386,546,0.066,0.026,365,187,0.018,0.009,7460,465,531,240,0.071,0.033,67,102,0.009,0.014
Easton,7550,31,159,95,0.021,0.013,122,78,0.016,0.01,2044,240,35,57,0.017,0.028,27,64,0.013,0.031
Fairfield,60126,43,2577,514,0.047,0.009,3409,545,0.062,0.01,15677,704,693,197,0.045,0.013,785,205,0.051,0.013
Greenwich,61733,39,2665,473,0.044,0.008,4395,700,0.072,0.011,16547,757,506,153,0.031,0.009,1229,286,0.075,0.018
Monroe,19631,32,1000,455,0.051,0.023,1750,564,0.089,0.029,5179,473,389,191,0.075,0.038,506,215,0.098,0.042
New Canaan,19938,41,465,178,0.023,0.009,942,425,0.047,0.021,6420,522,64,72,0.01,0.011,408,237,0.064,0.037
New Fairfield,14010,37,217,98,0.016,0.007,963,321,0.069,0.023,3577,344,49,65,0.014,0.019,232,115,0.066,0.034
Newtown,27772,33,1241,524,0.046,0.019,2484,554,0.092,0.021,7087,485,310,176,0.044,0.025,648,216,0.092,0.031
Norwalk,86499,49,8343,1056,0.097,0.012,9932,1282,0.116,0.015,16661,888,1823,387,0.11,0.024,2469,463,0.149,0.029
Redding,9207,34,319,171,0.035,0.019,311,142,0.034,0.015,2446,282,74,93,0.03,0.038,45,68,0.018,0.028
Ridgefield,24831,48,755,253,0.031,0.01,1014,333,0.041,0.013,7593,535,197,106,0.026,0.014,173,124,0.023,0.016
Shelton,40006,41,1859,374,0.047,0.009,2587,556,0.066,0.014,7734,616,438,147,0.057,0.02,582,196,0.076,0.026
Sherman,3627,23,83,67,0.023,0.019,211,123,0.059,0.034,876,193,47,49,0.055,0.059,39,56,0.046,0.067
Stamford,123995,56,13695,1670,0.111,0.014,18976,1857,0.154,0.015,27509,1170,3991,705,0.148,0.027,5221,687,0.193,0.027
Stratford,51694,39,3211,561,0.063,0.011,7109,1087,0.139,0.021,10690,644,810,248,0.077,0.024,1831,376,0.174,0.037
Trumbull,36251,60,737,218,0.021,0.006,2223,497,0.062,0.014,9227,569,110,81,0.012,0.009,411,147,0.045,0.016
Weston,10261,24,182,103,0.018,0.01,174,113,0.017,0.011,3473,308,36,58,0.01,0.017,59,79,0.017,0.023
Westport,26769,41,933,272,0.035,0.01,859,328,0.032,0.012,7633,562,241,106,0.032,0.014,158,108,0.021,0.014
Wilton,18353,30,667,306,0.037,0.017,684,224,0.038,0.012,5928,443,204,134,0.034,0.023,190,105,0.032,0.018
Avon,18205,27,744,291,0.041,0.016,830,261,0.046,0.014,4546,398,216,127,0.048,0.028,162,118,0.036,0.026
Berlin,20179,28,959,424,0.048,0.021,1569,510,0.078,0.025,4295,432,289,167,0.067,0.039,255,209,0.059,0.049
Bloomfield,20562,37,1365,389,0.068,0.019,2387,764,0.119,0.038,3121,397,190,118,0.061,0.038,451,181,0.145,0.06
Bristol,60536,32,6298,888,0.105,0.015,8545,1224,0.143,0.02,12556,757,1802,395,0.145,0.033,2203,458,0.177,0.038
Burlington,9384,45,337,178,0.036,0.019,402,154,0.043,0.016,2531,299,101,81,0.04,0.032,45,69,0.018,0.027
Canton,10304,19,386,180,0.038,0.018,593,220,0.058,0.022,2460,321,57,84,0.023,0.034,137,116,0.056,0.048
East Granby,5036,119,180,156,0.036,0.031,328,159,0.065,0.032,1128,226,67,74,0.059,0.066,21,72,0.019,0.064
