"Town","Total Population Under 18 in poverty","90% MoE"
"Connecticut",107794,2985
"Bethel",236,112
"Bridgeport",12174,1069
"Brookfield",33,62
"Danbury",1964,460
"Darien",531,240
"Easton",35,57
"Fairfield",693,197
"Greenwich",506,153
"Monroe",389,191
"New Canaan",64,72
"New Fairfield",49,65
"Newtown",310,176
"Norwalk",1823,387
"Redding",74,93
"Ridgefield",197,106
"Shelton",438,147
"Sherman",47,49
"Stamford",3991,705
"Stratford",810,248
"Trumbull",110,81
"Weston",36,58
"Westport",241,106
"Wilton",204,134
"Avon",216,127
"Berlin",289,167
"Bloomfield",190,118
"Bristol",1802,395
"Burlington",101,81
"Canton",57,84
"East Granby",67,74
"East Hartford",1919,413
"East Windsor",138,101
"Enfield",612,224
"Farmington",199,123
"Glastonbury",260,151
"Granby",31,61
"Hartford",14256,953
"Hartland",17,32
"Manchester",2085,481
"Marlborough",0,51
"New Britain",5184,623
"Newington",271,128
"Plainville",316,204
"Rocky Hill",295,183
"Simsbury",33,60
"Southington",506,197
"South Windsor",418,312
"Suffield",174,183
"West Hartford",1063,276
"Wethersfield",307,119
"Windsor",482,155
"Windsor Locks",259,118
"Barkhamsted",0,36
"Bethlehem",0,36
"Bridgewater",0,36
"Canaan",12,34
"Colebrook",17,36
"Cornwall",97,61
"Goshen",47,65
"Harwinton",88,78
"Kent",68,67
"Litchfield",187,93
"Morris",12,38
"New Hartford",40,57
"New Milford",369,150
"Norfolk",43,43
"North Canaan",105,77
"Plymouth",234,130
"Roxbury",0,36
"Salisbury",0,36
"Sharon",0,36
"Thomaston",28,56
"Torrington",976,267
"Warren",48,42
"Washington",28,49
"Watertown",45,76
"Winchester",165,113
"Woodbury",98,75
"Chester",18,45
"Clinton",241,109
"Cromwell",49,57
"Deep River",0,36
"Durham",22,60
"East Haddam",233,165
"East Hampton",93,85
"Essex",45,67
"Haddam",135,110
"Killingworth",0,51
"Middlefield",9,37
"Middletown",1313,314
"Old Saybrook",100,135
"Portland",31,64
"Westbrook",16,55
"Ansonia",1409,488
"Beacon Falls",49,72
"Bethany",33,58
"Branford",567,216
"Cheshire",65,84
"Derby",691,312
"East Haven",905,278
"Guilford",189,99
"Hamden",910,311
"Madison",102,142
"Meriden",3062,478
"Middlebury",17,61
"Milford",624,190
"Naugatuck",898,307
"New Haven",10653,925
"North Branford",80,86
"North Haven",169,100
"Orange",24,60
"Oxford",125,129
"Prospect",60,68
"Seymour",254,183
"Southbury",135,118
"Wallingford",776,224
"Waterbury",9846,967
"West Haven",1967,453
"Wolcott",96,95
"Woodbridge",50,62
"Bozrah",48,53
"Colchester",197,134
"East Lyme",57,62
"Franklin",9,33
"Griswold",179,164
"Groton",829,240
"Lebanon",0,51
"Ledyard",235,140
"Lisbon",28,53
"Lyme",10,37
"Montville",268,170
"New London",1992,420
"North Stonington",114,109
"Norwich",2201,514
"Old Lyme",53,56
"Preston",200,125
"Salem",31,39
"Sprague",105,88
"Stonington",193,111
"Voluntown",9,33
"Waterford",147,90
"Andover",56,73
"Bolton",15,42
"Columbia",9,50
"Coventry",72,74
"Ellington",128,98
"Hebron",6,49
"Mansfield",159,101
"Somers",111,102
"Stafford",271,135
"Tolland",50,65
"Union",2,34
"Vernon",811,271
"Willington",71,66
"Ashford",78,62
"Brooklyn",334,174
"Canterbury",0,51
"Chaplin",35,37
"Eastford",9,33
"Hampton",27,35
"Killingly",495,204
"Plainfield",571,223
"Pomfret",0,36
"Putnam",219,120
"Scotland",18,35
"Sterling",95,89
"Thompson",223,139
"Windham",1711,373
"Woodstock",43,67
