"Town","Total Population below Poverty Level","90% MoE"
"Connecticut",354348,6822
"Bethel",732,246
"Bridgeport",33015,2289
"Brookfield",424,267
"Danbury",8293,1197
"Darien",1386,546
"Easton",159,95
"Fairfield",2577,514
"Greenwich",2665,473
"Monroe",1000,455
"New Canaan",465,178
"New Fairfield",217,98
"Newtown",1241,524
"Norwalk",8343,1056
"Redding",319,171
"Ridgefield",755,253
"Shelton",1859,374
"Sherman",83,67
"Stamford",13695,1670
"Stratford",3211,561
"Trumbull",737,218
"Weston",182,103
"Westport",933,272
"Wilton",667,306
"Avon",744,291
"Berlin",959,424
"Bloomfield",1365,389
"Bristol",6298,888
"Burlington",337,178
"Canton",386,180
"East Granby",180,156
"East Hartford",6767,1021
"East Windsor",608,269
"Enfield",2860,548
"Farmington",1260,334
"Glastonbury",1097,335
"Granby",228,107
"Hartford",39452,2133
"Hartland",115,56
"Manchester",6031,1033
"Marlborough",63,66
"New Britain",15658,1478
"Newington",1329,321
"Plainville",1175,396
"Rocky Hill",1507,468
"Simsbury",448,145
"Southington",1832,416
"South Windsor",1140,685
"Suffield",551,381
"West Hartford",4513,701
"Wethersfield",1537,393
"Windsor",1524,443
"Windsor Locks",983,353
"Barkhamsted",43,30
"Bethlehem",168,80
"Bridgewater",42,24
"Canaan",81,33
"Colebrook",54,28
"Cornwall",187,106
"Goshen",339,180
"Harwinton",237,137
"Kent",262,124
"Litchfield",569,224
"Morris",135,75
"New Hartford",166,107
"New Milford",1596,440
"Norfolk",108,54
"North Canaan",292,170
"Plymouth",792,289
"Roxbury",74,39
"Salisbury",165,91
"Sharon",170,102
"Thomaston",223,93
"Torrington",3903,691
"Warren",107,59
"Washington",187,96
"Watertown",723,233
"Winchester",765,275
"Woodbury",582,228
"Chester",203,95
"Clinton",1005,332
"Cromwell",566,273
"Deep River",130,83
"Durham",69,54
"East Haddam",505,314
"East Hampton",434,180
"Essex",342,197
"Haddam",324,222
"Killingworth",21,37
"Middlefield",125,55
"Middletown",5121,685
"Old Saybrook",546,271
"Portland",483,229
"Westbrook",333,181
"Ansonia",3540,948
"Beacon Falls",189,133
"Bethany",186,89
"Branford",1995,436
"Cheshire",663,211
"Derby",1675,627
"East Haven",2835,620
"Guilford",824,229
"Hamden",4627,867
"Madison",515,362
"Meriden",8618,1130
"Middlebury",272,100
"Milford",2783,507
"Naugatuck",3116,706
"New Haven",32135,2147
"North Branford",426,230
"North Haven",923,276
"Orange",337,156
"Oxford",505,313
"Prospect",350,147
"Seymour",1182,454
"Southbury",1150,554
"Wallingford",2684,566
"Waterbury",25247,1998
"West Haven",6112,1127
"Wolcott",477,234
"Woodbridge",233,236
"Bozrah",154,103
"Colchester",514,266
"East Lyme",569,186
"Franklin",79,40
"Griswold",986,347
"Groton",3178,609
"Lebanon",353,160
"Ledyard",585,310
"Lisbon",118,84
"Lyme",89,54
"Montville",950,430
"New London",5889,849
"North Stonington",300,243
"Norwich",5984,1080
"Old Lyme",233,150
"Preston",483,279
"Salem",111,72
"Sprague",256,164
"Stonington",847,268
"Voluntown",60,38
"Waterford",1034,273
"Andover",134,126
"Bolton",95,73
"Columbia",219,115
"Coventry",384,204
"Ellington",300,173
"Hebron",124,70
"Mansfield",2431,491
"Somers",404,171
"Stafford",1128,314
"Tolland",309,159
"Union",8,14
"Vernon",2671,587
"Willington",743,328
"Ashford",233,134
"Brooklyn",817,367
"Canterbury",159,115
"Chaplin",110,79
"Eastford",49,29
"Hampton",115,60
"Killingly",1921,471
"Plainfield",1477,476
"Pomfret",120,102
"Putnam",1040,313
"Scotland",34,25
"Sterling",428,246
"Thompson",711,310
"Windham",5495,820
"Woodstock",236,134
