"Town","Pct Population Under 18 below poverty Level","90% MoE"
"Connecticut",0.136,0.004
"Bethel",0.054,0.026
"Bridgeport",0.332,0.031
"Brookfield",0.009,0.016
"Danbury",0.119,0.028
"Darien",0.071,0.033
"Easton",0.017,0.028
"Fairfield",0.045,0.013
"Greenwich",0.031,0.009
"Monroe",0.075,0.038
"New Canaan",0.01,0.011
"New Fairfield",0.014,0.019
"Newtown",0.044,0.025
"Norwalk",0.11,0.024
"Redding",0.03,0.038
"Ridgefield",0.026,0.014
"Shelton",0.057,0.02
"Sherman",0.055,0.059
"Stamford",0.148,0.027
"Stratford",0.077,0.024
"Trumbull",0.012,0.009
"Weston",0.01,0.017
"Westport",0.032,0.014
"Wilton",0.034,0.023
"Avon",0.048,0.028
"Berlin",0.067,0.039
"Bloomfield",0.061,0.038
"Bristol",0.145,0.033
"Burlington",0.04,0.032
"Canton",0.023,0.034
"East Granby",0.059,0.066
"East Hartford",0.172,0.038
"East Windsor",0.06,0.046
"Enfield",0.075,0.028
"Farmington",0.034,0.021
"Glastonbury",0.029,0.017
"Granby",0.011,0.023
"Hartford",0.45,0.034
"Hartland",0.033,0.064
"Manchester",0.167,0.04
"Marlborough",0,0.031
"New Britain",0.312,0.041
"Newington",0.048,0.023
"Plainville",0.087,0.057
"Rocky Hill",0.072,0.046
"Simsbury",0.005,0.009
"Southington",0.055,0.022
"South Windsor",0.067,0.051
"Suffield",0.055,0.058
"West Hartford",0.076,0.02
"Wethersfield",0.055,0.022
"Windsor",0.075,0.025
"Windsor Locks",0.109,0.052
"Barkhamsted",0,0.042
"Bethlehem",0,0.056
"Bridgewater",0,0.109
"Canaan",0.07,0.2
"Colebrook",0.058,0.124
"Cornwall",0.259,0.177
"Goshen",0.082,0.115
"Harwinton",0.076,0.068
"Kent",0.121,0.124
"Litchfield",0.1,0.052
"Morris",0.024,0.078
"New Hartford",0.024,0.034
"New Milford",0.057,0.024
"Norfolk",0.14,0.143
"North Canaan",0.173,0.134
"Plymouth",0.088,0.05
"Roxbury",0,0.091
"Salisbury",0,0.061
"Sharon",0,0.089
"Thomaston",0.019,0.038
"Torrington",0.14,0.04
"Warren",0.155,0.139
"Washington",0.047,0.082
"Watertown",0.01,0.016
"Winchester",0.072,0.051
"Woodbury",0.047,0.037
"Chester",0.02,0.051
"Clinton",0.089,0.041
"Cromwell",0.018,0.021
"Deep River",0,0.042
"Durham",0.011,0.031
"East Haddam",0.102,0.073
"East Hampton",0.033,0.03
"Essex",0.034,0.051
"Haddam",0.071,0.059
"Killingworth",0,0.036
"Middlefield",0.009,0.036
"Middletown",0.154,0.038
"Old Saybrook",0.044,0.06
"Portland",0.016,0.033
"Westbrook",0.014,0.047
"Ansonia",0.327,0.121
"Beacon Falls",0.036,0.054
"Bethany",0.023,0.041
"Branford",0.114,0.045
"Cheshire",0.01,0.014
"Derby",0.253,0.12
"East Haven",0.162,0.052
"Guilford",0.038,0.02
"Hamden",0.077,0.027
"Madison",0.021,0.03
"Meriden",0.234,0.039
"Middlebury",0.01,0.037
"Milford",0.059,0.018
"Naugatuck",0.128,0.045
"New Haven",0.374,0.036
"North Branford",0.026,0.028
"North Haven",0.036,0.022
"Orange",0.007,0.018
"Oxford",0.041,0.042
"Prospect",0.032,0.037
"Seymour",0.069,0.05
"Southbury",0.032,0.029
"Wallingford",0.083,0.025
"Waterbury",0.36,0.038
"West Haven",0.166,0.04
"Wolcott",0.027,0.027
"Woodbridge",0.024,0.03
"Bozrah",0.083,0.093
"Colchester",0.047,0.032
"East Lyme",0.016,0.017
"Franklin",0.022,0.083
"Griswold",0.069,0.064
"Groton",0.1,0.03
"Lebanon",0,0.033
"Ledyard",0.065,0.039
"Lisbon",0.029,0.054
"Lyme",0.021,0.077
"Montville",0.068,0.044
"New London",0.376,0.088
"North Stonington",0.104,0.102
"Norwich",0.245,0.06
"Old Lyme",0.036,0.038
"Preston",0.207,0.136
"Salem",0.03,0.038
"Sprague",0.172,0.149
"Stonington",0.055,0.032
"Voluntown",0.017,0.064
"Waterford",0.039,0.024
"Andover",0.074,0.098
"Bolton",0.016,0.045
"Columbia",0.008,0.044
"Coventry",0.029,0.03
"Ellington",0.031,0.024
"Hebron",0.002,0.019
"Mansfield",0.059,0.038
"Somers",0.05,0.046
"Stafford",0.105,0.054
"Tolland",0.013,0.017
"Union",0.01,0.178
"Vernon",0.158,0.055
"Willington",0.07,0.067
"Ashford",0.088,0.071
"Brooklyn",0.182,0.101
"Canterbury",0,0.044
"Chaplin",0.069,0.075
"Eastford",0.027,0.099
"Hampton",0.084,0.111
"Killingly",0.136,0.058
"Plainfield",0.171,0.069
"Pomfret",0,0.035
"Putnam",0.098,0.056
"Scotland",0.044,0.084
"Sterling",0.099,0.095
"Thompson",0.116,0.074
"Windham",0.35,0.083
"Woodstock",0.023,0.037
