Neighborhood,Town,2014 Total Population,2014 Population Ages 0-17,"2014 % of Total Population, Ages 0-17",2014 Population Ages 65+,"2014 % of Total Population, Ages 65+",2014 Hispanic Population,"2014 % of Total Population, Hispanic",2014 White Non-Hispanic Population,"2014 % of Total Population, White Non-Hispanic",2014 Black Non-Hispanic Population,"2014 % of Total Population, Black Non-Hispanic",2014 Other Race Non-Hispanic Population,"2014 % of Total Population, Other Race Non-Hispanic",2014 Foreign-born Population,"2014 % of Total Population, Foreign-born",2014 Total Households,2014 Owner-Occupied Households,2014 Homeownership Rate,"2014 Total Population, Poverty Status Determined",2014 Population in Poverty,2014 Poverty Rate,2014 Population Low-Income,2014 Low-Income Rate,"2014 Population Ages 0-17, Poverty Status Determined",2014 Population Ages 0-17 In Poverty,"2014 Population Ages 0-17, Poverty Rate",2014 Population Ages 0-17 Low-Income,"2014 Population Ages 0-17, Low-Income Rate","2014 Population Ages 65+, Poverty Status Determined",2014 Population Ages 65+ In Poverty,2014 Population Ages 65+ Poverty Rate,2014 Population Ages 65+ Low-Income,"2014 Population Ages 65+, Low-Income Rate"
Asylum Hill,Hartford,10853,2061,19.0%,941,8.7%,3228,29.7%,1387,12.8%,5146,47.4%,1092,10.1%,2964,27.3%,5450,574,10.5%,10713,3229,30.1%,5849,54.6%,1974,801,40.6%,1410,71.4%,938,206,22.0%,584,62.3%
Barry Square,Hartford,15419,4230,27.4%,1148,7.4%,8735,56.7%,3052,19.8%,2848,18.5%,784,5.1%,2867,18.6%,4705,977,20.8%,13294,5631,42.4%,9652,72.6%,4134,2175,52.6%,3535,85.5%,1146,374,32.6%,738,64.4%
Behind the Rocks,Hartford,8257,2334,28.3%,512,6.2%,5672,68.7%,851,10.3%,1456,17.6%,278,3.4%,1127,13.6%,2840,978,34.4%,8140,2818,34.6%,4751,58.4%,2334,1258,53.9%,1760,75.4%,453,112,24.7%,265,58.5%
Blue Hills,Hartford,12425,2747,22.1%,1417,11.4%,669,5.4%,2315,18.6%,8719,70.2%,722,5.8%,3220,25.9%,3111,1705,54.8%,9452,1462,15.5%,3909,41.4%,2658,551,20.7%,1427,53.7%,1417,131,9.2%,437,30.8%
Clay Arsenal,Hartford,6377,2330,36.5%,389,6.1%,3486,54.7%,124,1.9%,2632,41.3%,135,2.1%,804,12.6%,2157,225,10.4%,6341,3207,50.6%,4991,78.7%,2294,1423,62.0%,2035,88.7%,389,152,39.1%,274,70.4%
Downtown,Hartford,1767,9,0.5%,87,4.9%,303,17.1%,994,56.3%,169,9.6%,301,17.0%,457,25.9%,1254,208,16.6%,1765,249,14.1%,342,19.4%,7,0,0.0%,0,0.0%,87,0,0.0%,17,19.5%
Frog Hollow,Hartford,9393,2876,30.6%,689,7.3%,6914,73.6%,626,6.7%,1446,15.4%,407,4.3%,1560,16.6%,3509,233,6.6%,9286,4857,52.3%,7202,77.6%,2836,1813,63.9%,2546,89.8%,689,321,46.6%,594,86.2%
North Meadows,Hartford,1200,13,1.1%,11,0.9%,416,34.7%,409,34.1%,337,28.1%,38,3.2%,33,2.8%,16,0,0.0%,45,0,0.0%,0,0.0%,13,0,0.0%,0,0.0%,0,0,NA,0,NA
Northeast,Hartford,10816,3488,32.2%,1277,11.8%,2569,23.8%,258,2.4%,7762,71.8%,227,2.1%,1270,11.7%,3865,733,19.0%,10816,4484,41.5%,7528,69.6%,3488,1818,52.1%,2911,83.5%,1277,391,30.6%,816,63.9%
Parkville,Hartford,4312,949,22.0%,493,11.4%,2602,60.3%,573,13.3%,926,21.5%,211,4.9%,1499,34.8%,1691,261,15.4%,4203,1693,40.3%,3086,73.4%,949,450,47.4%,806,84.9%,404,168,41.6%,318,78.7%
Sheldon Charter Oak,Hartford,3234,698,21.6%,495,15.3%,1564,48.4%,447,13.8%,703,21.7%,520,16.1%,693,21.4%,1487,40,2.7%,3200,1179,36.8%,2162,67.6%,666,218,32.7%,560,84.1%,495,209,42.2%,376,76.0%
South End,Hartford,14694,4133,28.1%,1298,8.8%,9009,61.3%,3288,22.4%,1756,12.0%,641,4.4%,4547,30.9%,4987,1544,31.0%,14592,4134,28.3%,8320,57.0%,4133,1617,39.1%,2893,70.0%,1208,238,19.7%,596,49.3%
South Green,Hartford,2011,513,25.5%,240,11.9%,1288,64.0%,287,14.3%,413,20.5%,23,1.1%,236,11.7%,855,85,9.9%,1935,847,43.8%,1516,78.3%,494,219,44.3%,443,89.7%,240,133,55.4%,220,91.7%
