Neighborhood,Town,Total Population,Population Ages 0-17,"% of Total Population, Ages 0-17",Population Ages 65+,"% of Total Population, Ages 65+",Hispanic Population,"% of Total Population, Hispanic",White Non-Hispanic Population,"% of Total Population, White Non-Hispanic",Black Non-Hispanic Population,"% of Total Population, Black Non-Hispanic",Other Race Non-Hispanic Population,"% of Total Population, Other Race Non-Hispanic",Foreign-born Population,"% of Total Population, Foreign-born",Total Households,Owner-Occupied Households,Homeownership Rate,"Total Population, Poverty Status Determined",Population in Poverty,Poverty Rate,Population Low-Income,Low-Income Rate,Population Middle-Income (2+ times FPL),Middle-Income Rate (2+ times FPL),"Population Ages 0-17, Poverty Status Determined",Population Ages 0-17 In Poverty,"Population Ages 0-17, Poverty Rate",Population Ages 0-17 Low-Income,"Population Ages 0-17, Low-Income Rate","Population Ages 65+, Poverty Status Determined",Population Ages 65+ In Poverty,Population Ages 65+ Poverty Rate,Population Ages 65+ Low-Income,"Population Ages 65+, Low-Income Rate"
Asylum Hill,Hartford,9859.0,1795.0,0.182,960.0,0.097,2909.0,0.295,1233.0,0.125,4664.0,0.473,1053.0,0.107,2622.0,0.266,5262.0,608.0,0.116,9759.0,2555.0,0.262,2404.0,0.246,4800.0,0.492,1757.0,706.0,0.402,1236.0,0.703,956.0,218.0,0.228,570.0,0.596
Barry Square,Hartford,15485.0,4042.0,0.261,1097.0,0.071,8893.0,0.574,2769.0,0.179,2878.0,0.186,945.0,0.061,3319.0,0.214,4676.0,977.0,0.209,13375.0,5577.0,0.417,4259.0,0.318,3539.0,0.265,3924.0,2012.0,0.513,3387.0,0.863,1096.0,322.0,0.294,684.0,0.624
Behind The Rocks,Hartford,8484.0,2385.0,0.281,697.0,0.082,5773.0,0.68,684.0,0.081,1528.0,0.18,499.0,0.059,1311.0,0.155,2809.0,998.0,0.355,8367.0,2977.0,0.356,1953.0,0.233,3437.0,0.411,2385.0,1388.0,0.582,1848.0,0.775,626.0,130.0,0.208,251.0,0.401
Bishops Corner West,Hartford,8010.0,1992.0,0.249,1742.0,0.217,556.0,0.069,6343.0,0.792,300.0,0.037,811.0,0.101,1216.0,0.152,3053.0,2525.0,0.827,7916.0,835.0,0.105,495.0,0.063,6586.0,0.832,1967.0,312.0,0.159,424.0,0.216,1699.0,174.0,0.102,419.0,0.247
Blue Hills,Hartford,12067.0,2490.0,0.206,1339.0,0.111,497.0,0.041,2191.0,0.182,8984.0,0.745,395.0,0.033,3262.0,0.27,3074.0,1731.0,0.563,9253.0,1590.0,0.172,2199.0,0.238,5464.0,0.591,2438.0,639.0,0.262,1372.0,0.563,1339.0,158.0,0.118,461.0,0.344
Clay Arsenal,Hartford,6608.0,2357.0,0.357,475.0,0.072,3750.0,0.567,145.0,0.022,2579.0,0.39,134.0,0.02,928.0,0.14,2203.0,256.0,0.116,6592.0,2958.0,0.449,2104.0,0.319,1530.0,0.232,2341.0,1214.0,0.519,2058.0,0.879,475.0,174.0,0.366,344.0,0.724
Downtown,Hartford,2001.0,39.0,0.019,225.0,0.112,237.0,0.118,1132.0,0.566,264.0,0.132,368.0,0.184,573.0,0.286,1387.0,275.0,0.198,1998.0,335.0,0.168,149.0,0.075,1514.0,0.758,36.0,0.0,0.0,0.0,0.0,225.0,1.0,0.004,59.0,0.262
Frog Hollow,Hartford,9421.0,2846.0,0.302,659.0,0.07,6406.0,0.68,745.0,0.079,1938.0,0.206,332.0,0.035,1631.0,0.173,3411.0,228.0,0.067,9316.0,4331.0,0.465,2211.0,0.237,2774.0,0.298,2800.0,1503.0,0.537,2241.0,0.8,659.0,295.0,0.448,538.0,0.816
North Meadows,Hartford,1083.0,13.0,0.012,0.0,0.0,327.0,0.302,411.0,0.38,309.0,0.285,36.0,0.033,54.0,0.05,15.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,48.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN
Northeast,Hartford,10946.0,3399.0,0.311,1154.0,0.105,2785.0,0.254,267.0,0.024,7751.0,0.708,143.0,0.013,1477.0,0.135,3850.0,769.0,0.2,10946.0,4367.0,0.399,3251.0,0.297,3328.0,0.304,3399.0,1752.0,0.515,2864.0,0.843,1154.0,337.0,0.292,732.0,0.634
