Neighborhood,Town,Total population,Population ages 0-17,"% of total population, ages 0-17",Population ages 65+,"% of total population, ages 65+",Hispanic population,"% of total population, Hispanic",White non-Hispanic population,"% of total population, white non-Hispanic",Black non-Hispanic population,"% of total population, black non-Hispanic",Other race non-Hispanic population,"% of total population, other race non-Hispanic",Total households,Owner-occupied households,Homeownership rate,"Total population, poverty status determined",Population in poverty,Poverty rate,Population low-income,Low-income rate,Population high income (5xFPL),High-income rate,Foreign-born population,"% of total population, foreign-born","Population ages 0-17, poverty status determined",Population ages 0-17 in poverty,"Population ages 0-17, poverty rate",Population ages 0-17 low-income,"Population ages 0-17, low-income rate","Population ages 65+, poverty status determined",Population ages 65+ in poverty,"Population ages 65+, poverty rate",Population ages 65+ low-income,"Population ages 65+, low-income rate"
Asylum Hill,Hartford,9609,1785,0.186,954,0.099,2467,0.257,1282,0.133,4689,0.488,1171,0.122,5153,631,0.122,9484,2447,0.258,4801,0.506,1202,0.127,2698,0.281,1739,713,0.41,1327,0.763,950,196,0.206,512,0.539
Barry Square,Hartford,15752,3910,0.248,1105,0.07,9361,0.594,2673,0.17,2783,0.177,935,0.059,4832,995,0.206,13628,5403,0.396,9414,0.691,559,0.041,3237,0.205,3813,1995,0.523,3116,0.817,1102,264,0.24,640,0.581
Behind The Rocks,Hartford,8155,2342,0.287,767,0.094,5525,0.677,825,0.101,1431,0.175,374,0.046,2802,915,0.327,8028,2827,0.352,4769,0.594,759,0.095,1105,0.135,2334,1232,0.528,1789,0.766,680,144,0.212,270,0.397
Blue Hills,Hartford,11640,2288,0.197,1439,0.124,825,0.071,2124,0.182,8257,0.709,434,0.037,3081,1731,0.562,8818,1395,0.158,3366,0.382,1620,0.184,2954,0.254,2209,558,0.253,1261,0.571,1439,179,0.124,513,0.356
Clay Arsenal,Hartford,7159,2551,0.356,530,0.074,4253,0.594,139,0.019,2618,0.366,149,0.021,2360,251,0.106,7135,3114,0.436,5516,0.773,190,0.027,688,0.096,2527,1296,0.513,2261,0.895,530,174,0.328,390,0.736
Downtown,Hartford,1986,46,0.023,203,0.102,252,0.127,1131,0.569,275,0.138,328,0.165,1429,203,0.142,1976,274,0.139,361,0.183,1188,0.601,478,0.241,36,0,0,0,0,203,1,0.005,10,0.049
Frog Hollow,Hartford,8871,2688,0.303,708,0.08,6304,0.711,683,0.077,1620,0.183,264,0.03,3327,252,0.076,8779,4065,0.463,5994,0.683,410,0.047,1310,0.148,2649,1469,0.555,2135,0.806,708,311,0.439,570,0.805
North Meadows,Hartford,1105,13,0.012,0,0,373,0.338,368,0.333,336,0.304,28,0.025,15,0,0,48,0,0,0,0,0,0,47,0.043,13,0,0,0,0,0,0,NaN,0,NaN
Northeast,Hartford,11076,3493,0.315,1045,0.094,2707,0.244,281,0.025,7991,0.721,97,0.009,3905,925,0.237,11076,3937,0.355,6970,0.629,587,0.053,1587,0.143,3493,1694,0.485,2747,0.786,1045,239,0.229,547,0.523
Parkville,Hartford,4613,1322,0.287,536,0.116,2705,0.586,684,0.148,1008,0.219,216,0.047,1652,250,0.151,4545,1956,0.43,3551,0.781,205,0.045,1341,0.291,1311,656,0.5,1156,0.882,483,159,0.329,376,0.778
Sheldon Charter Oak,Hartford,3252,723,0.222,465,0.143,1590,0.489,386,0.119,731,0.225,545,0.168,1422,65,0.046,3208,1165,0.363,2046,0.638,282,0.088,822,0.253,682,225,0.33,557,0.817,465,222,0.477,348,0.748
