Neighborhood,Total population,Population ages 0-17,"% of total population, ages 0-17",Population ages 65+,"% of total population, ages 65+",Hispanic population,"% of total population, Hispanic",White non-Hispanic population,"% of total population, white non-Hispanic",Black non-Hispanic population,"% of total population, black non-Hispanic",Other race non-Hispanic population,"% of total population, other race non-Hispanic",Total households,Owner-occupied households,Homeownership rate,"Total population, poverty status determined",Population in poverty,Poverty rate,Population low-income,Low-income rate,Population high income (5xFPL),High-income rate,Foreign-born population,"% of total population, foreign-born","Population ages 0-17, poverty status determined",Population ages 0-17 in poverty,"Population ages 0-17, poverty rate",Population ages 0-17 low-income,"Population ages 0-17, low-income rate","Population ages 65+, poverty status determined",Population ages 65+ in poverty,"Population ages 65+, poverty rate",Population ages 65+ low-income,"Population ages 65+, low-income rate"
Amity,4970,1327,0.267,479,0.096,669,0.135,1090,0.219,2716,0.546,495,0.1,1830,839,0.458,4970,1033,0.208,2140,0.431,1067,0.215,631,0.127,1327,397,0.299,709,0.534,479,112,0.234,215,0.449
Annex,6677,1557,0.233,692,0.104,3073,0.46,1915,0.287,1401,0.21,288,0.043,2432,896,0.368,6610,1728,0.261,2984,0.451,914,0.138,1627,0.244,1490,635,0.426,985,0.661,692,171,0.247,303,0.438
Beaver Hills,5135,1443,0.281,580,0.113,724,0.141,750,0.146,3374,0.657,287,0.056,2012,916,0.455,5135,969,0.189,2277,0.443,1088,0.239,399,0.087,1232,252,0.205,650,0.528,538,56,0.104,118,0.219
Dixwell,4962,1034,0.208,610,0.123,658,0.133,794,0.16,3272,0.659,238,0.048,1808,288,0.159,4145,1264,0.305,2348,0.566,526,0.127,368,0.074,1027,501,0.488,882,0.859,585,83,0.142,333,0.569
Downtown,10935,378,0.035,551,0.05,1209,0.111,6134,0.561,1216,0.111,2376,0.217,4342,408,0.094,6848,1518,0.222,2488,0.363,2110,0.306,2500,0.227,354,124,0.35,137,0.387,542,52,0.096,210,0.388
Dwight,4403,915,0.208,329,0.075,1214,0.276,980,0.223,1724,0.392,485,0.11,1845,245,0.133,4403,1614,0.367,3048,0.692,464,0.105,862,0.196,915,341,0.373,757,0.827,329,64,0.195,159,0.483
East Rock,8567,1205,0.141,798,0.093,923,0.108,5753,0.672,592,0.069,1299,0.152,3886,1056,0.272,8542,1302,0.152,2508,0.294,3282,0.379,2499,0.288,1241,184,0.148,379,0.306,787,58,0.074,178,0.226
East Shore,4567,956,0.209,862,0.189,357,0.078,3143,0.688,823,0.18,244,0.053,2010,1402,0.698,4557,160,0.035,595,0.131,1801,0.395,304,0.067,956,32,0.033,150,0.157,862,0,0,121,0.14
Edgewood,4391,1092,0.249,474,0.108,561,0.128,897,0.204,2604,0.593,329,0.075,1868,410,0.219,4368,1003,0.23,2073,0.475,774,0.177,413,0.094,1085,204,0.188,522,0.481,474,40,0.084,249,0.525
Fair Haven,17305,5094,0.294,1149,0.066,11605,0.671,2454,0.142,2791,0.161,455,0.026,5640,1092,0.194,17146,5702,0.333,10899,0.636,1071,0.063,3257,0.19,5035,2172,0.431,3673,0.729,1065,373,0.351,750,0.704
Fair Haven Heights,6640,1126,0.17,1657,0.25,2856,0.43,2392,0.36,1210,0.182,182,0.027,3219,875,0.272,6493,1425,0.219,3295,0.507,1036,0.16,722,0.109,1126,312,0.277,745,0.662,1550,143,0.092,784,0.506
Hill,16220,4967,0.306,1519,0.094,7442,0.459,1927,0.119,6244,0.385,607,0.037,5285,1212,0.229,15664,6741,0.43,11020,0.704,1172,0.075,2372,0.146,4893,2897,0.592,4250,0.869,1371,375,0.274,785,0.573
Newhallville,5639,1624,0.288,850,0.151,654,0.116,33,0.006,4843,0.859,109,0.019,2492,775,0.311,5639,1724,0.306,3482,0.617,293,0.052,694,0.123,1624,711,0.438,1265,0.779,850,187,0.22,448,0.527
Prospect Hill,4226,998,0.236,381,0.09,706,0.167,1395,0.33,1049,0.248,1076,0.255,1666,445,0.267,3920,804,0.205,1411,0.36,1053,0.269,1027,0.243,987,216,0.219,485,0.491,381,27,0.071,44,0.115
Quinnipiac Meadows,6014,1294,0.215,598,0.099,1596,0.265,1559,0.259,2551,0.424,308,0.051,2129,858,0.403,5963,1224,0.205,2260,0.379,1058,0.177,954,0.159,1243,395,0.318,641,0.516,598,80,0.134,210,0.351
West River,3527,831,0.236,464,0.132,889,0.252,505,0.143,1905,0.54,228,0.065,1407,255,0.181,3349,1175,0.351,2081,0.621,424,0.127,431,0.122,831,279,0.336,605,0.728,317,64,0.202,83,0.262
West Rock,4415,707,0.16,278,0.063,543,0.123,2031,0.46,1591,0.36,250,0.057,915,95,0.104,2343,835,0.356,1395,0.595,701,0.162,799,0.125,1003,437,0.436,785,0.783,419,68,0.162,203,0.484
Westville,8548,1663,0.195,1124,0.131,819,0.096,4865,0.569,2314,0.271,550,0.064,3659,1657,0.453,8524,709,0.083,1546,0.181,2943,0.414,832,0.117,1528,41,0.027,99,0.065,1025,39,0.038,172,0.168
Wooster Square,3264,471,0.144,286,0.088,732,0.224,1547,0.474,751,0.23,234,0.072,1578,368,0.233,3228,918,0.284,1604,0.497,741,0.23,476,0.146,467,214,0.458,356,0.762,286,42,0.147,88,0.308
New Haven,130405,28682,0.22,13681,0.105,37231,0.286,40164,0.308,42970,0.33,10040,0.077,50024,14092,0.282,121847,31848,0.261,59454,0.488,22518,0.185,21167,0.162,28364,10344,0.365,18075,0.637,13149,2034,0.155,5453,0.415
Greater New Haven,464596,94327,0.203,72214,0.155,66996,0.144,293119,0.631,71020,0.153,33461,0.072,177415,106876,0.602,445981,56312,0.126,119297,0.267,166554,0.373,58652,0.126,93489,16556,0.177,32481,0.347,69920,5561,0.08,17972,0.257
