Geography,City,Name,Total population,Population ages 0-17,"% of total population, ages 0-17",Population ages 65+,"% of total population, ages 65+",Hispanic population,"% of total population, Hispanic",White non-Hispanic population,"% of total population, white non-Hispanic",Black non-Hispanic population,"% of total population, black non-Hispanic",Other race non-Hispanic population,"% of total population, other race non-Hispanic",Total households,Owner-occupied households,Homeownership rate,"Total population, poverty status determined",Population in poverty,Poverty rate,Population low-income,Low-income rate,Foreign-born population,"% of total population, foreign-born","Population ages 0-17, poverty status determined",Population ages 0-17 in poverty,"Population ages 0-17, poverty rate",Population ages 0-17 low-income,"Population ages 0-17, low-income rate","Population ages 65+, poverty status determined",Population ages 65+ in poverty,"Population ages 65+, poverty rate",Population ages 65+ low-income,"Population ages 65+, low-income rate"
neighborhood,Stamford,Belltown,4258,948,0.223,522,0.123,643,0.151,2648,0.622,426,0.1,541,0.127,1656,1124,0.679,4240,213,0.05,621,0.146,1056,0.248,931,68,0.073,208,0.223,522,11,0.021,82,0.157
neighborhood,Stamford,Cove-East Side,17977,3771,0.21,1829,0.102,7715,0.429,6276,0.349,3149,0.175,837,0.047,6336,2694,0.425,17849,1512,0.085,5193,0.291,7745,0.431,3738,265,0.071,1292,0.346,1734,309,0.178,582,0.336
neighborhood,Stamford,Downtown,19440,2870,0.148,2154,0.111,4133,0.213,8063,0.415,3073,0.158,4171,0.215,9301,1992,0.214,19432,2761,0.142,5188,0.267,8272,0.426,2862,400,0.14,966,0.338,2154,557,0.259,1026,0.476
neighborhood,Stamford,Glenbrook,12814,2768,0.216,1887,0.147,3885,0.303,5795,0.452,1911,0.149,1224,0.095,5063,3039,0.6,12578,840,0.067,3910,0.311,4607,0.359,2700,247,0.092,1274,0.472,1749,135,0.077,417,0.238
neighborhood,Stamford,Newfield,3408,688,0.202,662,0.194,445,0.13,2693,0.79,64,0.019,206,0.06,1294,1059,0.818,3408,127,0.037,332,0.097,470,0.138,688,0,0,17,0.025,662,70,0.105,164,0.247
neighborhood,Stamford,North Stamford,14599,3507,0.24,2530,0.173,1337,0.092,11634,0.797,456,0.031,1172,0.08,4861,4564,0.939,14474,382,0.026,759,0.052,2755,0.189,3507,46,0.013,173,0.049,2422,49,0.02,124,0.051
neighborhood,Stamford,PH-Roxbury-Westover,4972,1003,0.202,1296,0.261,460,0.093,3998,0.804,167,0.034,347,0.07,1715,1494,0.871,4867,116,0.024,209,0.043,1078,0.217,1003,0,0,0,0,1203,65,0.054,105,0.087
neighborhood,Stamford,Ridgeway,4678,941,0.201,584,0.125,1300,0.278,2073,0.443,801,0.171,504,0.108,1582,1256,0.794,4642,124,0.027,787,0.17,1426,0.305,905,15,0.017,153,0.169,584,18,0.031,75,0.128
neighborhood,Stamford,Shippan,2281,514,0.225,368,0.161,258,0.113,1879,0.824,36,0.016,108,0.047,820,717,0.874,2281,92,0.04,226,0.099,408,0.179,514,6,0.012,37,0.072,368,1,0.003,45,0.122
neighborhood,Stamford,South End,4468,994,0.222,186,0.042,2154,0.482,1287,0.288,900,0.201,127,0.028,1602,130,0.081,4377,1159,0.265,2218,0.507,1606,0.359,909,338,0.372,681,0.749,186,95,0.511,150,0.806
neighborhood,Stamford,Springdale,7229,1688,0.233,866,0.12,1428,0.198,4257,0.589,592,0.082,953,0.132,2881,1999,0.694,7205,312,0.043,1600,0.222,1829,0.253,1663,21,0.012,591,0.355,866,33,0.039,112,0.13
neighborhood,Stamford,Turn of River,12589,2662,0.211,2093,0.166,1404,0.112,8817,0.7,706,0.056,1662,0.132,4327,3868,0.894,12569,168,0.013,650,0.052,3214,0.255,2662,0,0,91,0.034,2093,25,0.012,166,0.079
neighborhood,Stamford,Waterside,5836,1326,0.227,633,0.108,2739,0.469,1506,0.258,1480,0.254,111,0.019,1993,799,0.401,5836,1244,0.213,2627,0.45,1931,0.331,1326,501,0.378,880,0.664,633,45,0.071,111,0.175
neighborhood,Stamford,West Side,12861,3461,0.269,1091,0.085,5925,0.461,2330,0.181,4062,0.316,544,0.042,4278,1281,0.299,12704,2228,0.175,5319,0.419,5990,0.466,3362,765,0.228,1795,0.534,1044,170,0.163,288,0.276
city,,Stamford,127410,27141,0.213,16701,0.131,33826,0.265,63256,0.496,17822,0.14,12506,0.098,47708,26016,0.545,126461,11279,0.089,29639,0.234,42386,0.333,26770,2672,0.1,8158,0.305,16220,1583,0.098,3447,0.213
county,,Fairfield County,941618,222006,0.236,135434,0.144,175480,0.186,598017,0.635,98457,0.105,69664,0.074,335209,226707,0.676,923385,81553,0.088,196117,0.212,199191,0.212,219170,23736,0.108,56535,0.258,130544,9121,0.07,26616,0.204
state,,Connecticut,3588570,773652,0.216,555023,0.155,537728,0.15,2464450,0.687,347674,0.097,238718,0.067,1354713,900223,0.665,3479672,360464,0.104,812120,0.233,503209,0.14,763850,107690,0.141,229817,0.301,533413,38003,0.071,122224,0.229
