"Town","Pct Population below 200% FPL","90% MoE"
"Connecticut",0.230092233366108,0.0030546679521578
"Bethel",0.148759888817618,0.029425322864264
"Bridgeport",0.471730262088079,0.022247867345478
"Brookfield",0.074234755362738,0.0209355769434607
"Danbury",0.277051371825068,0.0266543646133241
"Darien",0.0839687335155613,0.027668882135656
"Easton",0.0372185430463576,0.0162987485692351
"Fairfield",0.108389012620638,0.0135189166271788
"Greenwich",0.115280363149473,0.0137849127724779
"Monroe",0.140227423384835,0.0369347582672704
"New Canaan",0.0708994708994709,0.0232066162487117
"New Fairfield",0.0847335918425966,0.024082657023881
"Newtown",0.137983404948881,0.0282465282698132
"Norwalk",0.212633514066972,0.0193196718168598
"Redding",0.0686199760374687,0.0242543940606101
"Ridgefield",0.0715817585885971,0.0169228301707728
"Shelton",0.112579762989973,0.0169662747744396
"Sherman",0.0816893581550431,0.0389542127424952
"Stamford",0.265914066887509,0.0203213573753407
"Stratford",0.201287302516091,0.0238531969652867
"Trumbull",0.0832208726945569,0.0152574128934512
"Weston",0.0347249317206399,0.0149095834136229
"Westport",0.0675054622165298,0.0160505598105165
"Wilton",0.0744229603922217,0.0208839806867329
"Avon",0.0874104514910868,0.0216919004944405
"Berlin",0.125689852334311,0.0330057234184639
"Bloomfield",0.186601681006615,0.0425971188654249
"Bristol",0.247879091516366,0.0252484731329142
"Burlington",0.0787510656436488,0.0250964037523356
"Canton",0.0958394517865884,0.0278657003181315
"East Granby",0.10087370929309,0.0441098352518444
"East Hartford",0.337539494470774,0.0339953516214529
"East Windsor",0.200054141851651,0.0585085097962141
"Enfield",0.171742850158885,0.0209435358246172
"Farmington",0.103289734443123,0.0190089327124077
"Glastonbury",0.107505544531341,0.0175065906084516
"Granby",0.0628178816810922,0.0179722576558727
"Hartford",0.594645489480994,0.0254317608019226
"Hartland",0.134846461949266,0.0422225406268719
"Manchester",0.263168849189142,0.0278932392949385
"Marlborough",0.0866645346977934,0.0626617314547371
"New Britain",0.45974893963412,0.0300679135276278
"Newington",0.138877861585285,0.0225687344986342
"Plainville",0.224643850388785,0.045163175227534
"Rocky Hill",0.178883969937198,0.0367250307419133
"Simsbury",0.0776811345816016,0.0190044437731888
"Southington",0.123840672818596,0.0163987844099728
"South Windsor",0.103103691511874,0.0358494884813485
"Suffield",0.0991307000152509,0.0358290924191047
"West Hartford",0.174019807132519,0.0178896430782778
"Wethersfield",0.147674858223062,0.0231022859200414
"Windsor",0.143521757380719,0.0247857267231345
"Windsor Locks",0.174000160294943,0.0387731798269496
"Barkhamsted",0.0353130016051364,0.0179526721587579
"Bethlehem",0.166855203619909,0.0695949058308149
"Bridgewater",0.172932330827068,0.0629842043874669
"Canaan",0.226795096322242,0.0639412342940579
"Colebrook",0.142567567567568,0.0536705678892251
"Cornwall",0.233706385780118,0.0739046170510573
"Goshen",0.194378598035896,0.0731923637615326
"Harwinton",0.105534792667734,0.0386182778343444
"Kent",0.229715109989181,0.079116496135072
"Litchfield",0.16859344894027,0.038616872737994
"Morris",0.178526315789474,0.0571871666534503
"New Hartford",0.0989741366854501,0.0327615734733693
"New Milford",0.158553747338794,0.0291305002767794
"Norfolk",0.222222222222222,0.0714752870805675
"North Canaan",0.274403815580286,0.0985612124709693
"Plymouth",0.187515522808179,0.0439935223725976
"Roxbury",0.102998696219035,0.0372371119911923
"Salisbury",0.17622020431328,0.0674346323357326
"Sharon",0.235031610264039,0.0808408826272716
