"Town","Total Population Under 18 in poverty","90% MoE"
"Connecticut",107794,2985.17285931653
"Bethel",236,112.196256622046
"Bridgeport",12174,1069.03274037795
"Brookfield",33,62.0403094769844
"Danbury",1964,460.35964201915
"Darien",531,240.366387001178
"Easton",35,56.9824534396335
"Fairfield",693,196.827335499925
"Greenwich",506,153.160047009656
"Monroe",389,191.138693100063
"New Canaan",64,71.5401984900797
"New Fairfield",49,65.0768776140958
"Newtown",310,175.72421574729
"Norwalk",1823,387.439027461096
"Redding",74,92.6120942425988
"Ridgefield",197,106.301458127346
"Shelton",438,147.397421958459
"Sherman",47,49.0204039151046
"Stamford",3991,704.814869309665
"Stratford",810,247.854796201324
"Trumbull",110,81.4923309275173
"Weston",36,57.8273291792038
"Westport",241,106.306161627631
"Wilton",204,134.491635427635
"Avon",216,126.578039169518
"Berlin",289,167.080818767446
"Bloomfield",190,117.736995035545
"Bristol",1802,394.506020232898
"Burlington",101,80.9073544246751
"Canton",57,83.9761871008681
"East Granby",67,73.668174946852
"East Hartford",1919,413.298923298864
"East Windsor",138,101.286721735872
"Enfield",612,223.559835390886
"Farmington",199,123.008129812627
"Glastonbury",260,150.74481748969
"Granby",31,61.4573022512378
"Hartford",14256,952.900834294944
"Hartland",17,32.4499614791759
"Manchester",2085,480.546563820823
"Marlborough",0,51
"New Britain",5184,623.371478333746
"Newington",271,127.980467259656
"Plainville",316,204.276773031101
"Rocky Hill",295,182.554101569918
"Simsbury",33,59.7494769851586
"Southington",506,196.956848065763
"South Windsor",418,312.451596251323
"Suffield",174,182.534928164447
"West Hartford",1063,276.17928959283
"Wethersfield",307,118.806565475145
"Windsor",482,154.890283749498
"Windsor Locks",259,117.804923496431
"Barkhamsted",0,36
"Bethlehem",0,36
"Bridgewater",0,36
"Canaan",12,34.2344855372474
"Colebrook",17,36.0277670693036
"Cornwall",97,60.844062980705
"Goshen",47,65.0922422412994
"Harwinton",88,78.2240372264178
"Kent",68,67.446274915669
"Litchfield",187,93.3488082409197
"Morris",12,38.4187454245971
"New Hartford",40,56.674509261219
"New Milford",369,149.833240637717
"Norfolk",43,42.8835632847831
"North Canaan",105,77.2981241687015
"Plymouth",234,130.053835006892
"Roxbury",0,36
"Salisbury",0,36
"Sharon",0,36
"Thomaston",28,56.1515805654658
"Torrington",976,267.153513920368
"Warren",48,41.5932686861708
"Washington",28,48.5077313425396
"Watertown",45,76.1314652426971
"Winchester",165,112.982299498638
"Woodbury",98,74.7127833774114
"Chester",18,44.6430285710994
"Clinton",241,109.375499998857
"Cromwell",49,56.7450438364444
"Deep River",0,36
"Durham",22,60.0666296707248
"East Haddam",233,165.051507112174
"East Hampton",93,85.258430668175
"Essex",45,66.8954408012983
"Haddam",135,110.44455622619
"Killingworth",0,51
"Middlefield",9,36.7151195013716
"Middletown",1313,314.084383565946
"Old Saybrook",100,134.755333846197
"Portland",31,63.9061812346818
"Westbrook",16,54.6626014748658
"Ansonia",1409,488.35335567599
"Beacon Falls",49,72.4499827467198
"Bethany",33,57.6541412215983
"Branford",567,215.698864160199
"Cheshire",65,84.3563868358526
"Derby",691,311.703384646365
"East Haven",905,277.68327281275
"Guilford",189,98.6813052203912
"Hamden",910,311.11251983808
"Madison",102,142.028166220648
"Meriden",3062,477.59606363537
"Middlebury",17,61.2862137841782
"Milford",624,190.326036053925
"Naugatuck",898,306.530585749612
"New Haven",10653,924.949187793578
"North Branford",80,86.180044093746
"North Haven",169,99.9249718538865
"Orange",24,59.9666574022598
"Oxford",125,129.151074327704
"Prospect",60,68.3373982530796
"Seymour",254,183.354847222537
"Southbury",135,118.418748515596
"Wallingford",776,223.537468895038
"Waterbury",9846,967.032057379692
"West Haven",1967,452.833302662249
"Wolcott",96,95.0473566176356
"Woodbridge",50,61.5710971154486
"Bozrah",48,53.0094331227943
"Colchester",197,133.981341984621
"East Lyme",57,61.595454377738
"Franklin",9,33.2415402771893
"Griswold",179,164.033533157096
"Groton",829,240.482847621197
"Lebanon",0,51
"Ledyard",235,139.939272543486
"Lisbon",28,53.2259335286851
"Lyme",10,37.1079506305589
"Montville",268,169.661427554999
"New London",1992,420.108319365375
"North Stonington",114,108.816359064251
"Norwich",2201,513.640925160759
"Old Lyme",53,56.4623768539724
"Preston",200,125.419296760905
"Salem",31,39.0512483795333
"Sprague",105,87.9204185613331
"Stonington",193,111.296900226376
"Voluntown",9,33.3766385365573
"Waterford",147,89.5432856220945
"Andover",56,73.0068489937759
"Bolton",15,41.5692193816531
"Columbia",9,50.3686410378521
"Coventry",72,74.0540343262945
"Ellington",128,97.9387563735623
"Hebron",6,49.1121166312347
"Mansfield",159,100.910851745489
"Somers",111,102.19589032833
"Stafford",271,135.055544129073
"Tolland",50,65.1920240520265
"Union",2,34.1760149812701
"Vernon",811,271.440601237177
"Willington",71,66.3475696615935
"Ashford",78,62.1288982680363
"Brooklyn",334,174.34448657758
"Canterbury",0,51
"Chaplin",35,37.1348892552543
"Eastford",9,33.3766385365573
"Hampton",27,35.2562051276084
"Killingly",495,203.555889131216
"Plainfield",571,222.638720801212
"Pomfret",0,36
"Putnam",219,120.199833610534
"Scotland",18,34.554305086342
"Sterling",95,88.9325587172662
"Thompson",223,139.017984448056
"Windham",1711,372.747904085321
"Woodstock",43,67.1192967781993
