"Town","Total Population","90% MoE"
"Connecticut",3583561,0
"Bethel",18887,29
"Bridgeport",145587,59
"Brookfield",16614,28
"Danbury",81967,54
"Darien",20925,60
"Easton",7550,31
"Fairfield",60126,43
"Greenwich",61733,39
"Monroe",19631,32
"New Canaan",19938,41
"New Fairfield",14010,37
"Newtown",27772,33
"Norwalk",86499,49
"Redding",9207,34
"Ridgefield",24831,48
"Shelton",40006,41
"Sherman",3627,23
"Stamford",123995,56
"Stratford",51694,39
"Trumbull",36251,60
"Weston",10261,24
"Westport",26769,41
"Wilton",18353,30
"Avon",18205,27
"Berlin",20179,28
"Bloomfield",20562,37
"Bristol",60536,32
"Burlington",9384,45
"Canton",10304,19
"East Granby",5036,119
"East Hartford",51241,56
"East Windsor",11281,29
"Enfield",44699,54
"Farmington",25429,28
"Glastonbury",34551,28
"Granby",11284,28
"Hartford",125130,80
"Hartland",2257,120
"Manchester",58196,34
"Marlborough",6398,30
"New Britain",73112,35
"Newington",30606,34
"Plainville",17767,24
"Rocky Hill",19743,47
"Simsbury",23591,31
"Southington",43288,25
"South Windsor",25756,29
"Suffield",15731,24
"West Hartford",63340,41
"Wethersfield",26590,86
"Windsor",29100,34
"Windsor Locks",12531,24
"Barkhamsted",3772,18
"Bethlehem",3585,18
"Bridgewater",1729,110
"Canaan",1148,108
"Colebrook",1523,119
"Cornwall",1519,188
"Goshen",2953,29
"Harwinton",5636,54
"Kent",2964,16
"Litchfield",8406,22
"Morris",2380,127
"New Hartford",6932,23
"New Milford",27983,27
"Norfolk",1497,154
"North Canaan",3286,17
"Plymouth",12148,38
"Roxbury",2301,204
"Salisbury",3722,19
"Sharon",2769,18
"Thomaston",7831,18
"Torrington",36061,38
"Warren",1475,124
"Washington",3562,22
"Watertown",22387,25
"Winchester",11150,32
"Woodbury",9910,32
"Chester",4154,16
"Clinton",13239,31
"Cromwell",14076,21
"Deep River",4615,19
"Durham",7380,26
"East Haddam",9138,19
"East Hampton",12949,22
"Essex",6668,20
"Haddam",8343,26
"Killingworth",6501,25
"Middlefield",4421,21
"Middletown",47539,41
"Old Saybrook",10258,26
"Portland",9487,25
"Westbrook",6922,22
"Ansonia",19163,27
"Beacon Falls",6038,33
"Bethany",5555,31
"Branford",28025,26
"Cheshire",29264,44
"Derby",12841,41
"East Haven",29167,42
"Guilford",22377,27
"Hamden",61468,38
"Madison",18289,38
"Meriden",60691,71
"Middlebury",7550,38
"Milford",52894,44
"Naugatuck",31786,23
"New Haven",130338,89
"North Branford",14383,21
"North Haven",24011,27
"Orange",13934,37
"Oxford",12736,19
"Prospect",9520,23
"Seymour",16535,24
"Southbury",19864,26
"Wallingford",45112,43
"Waterbury",110052,40
"West Haven",55349,67
"Wolcott",16688,24
"Woodbridge",8981,24
"Bozrah",2618,42
"Colchester",16119,21
"East Lyme",19119,33
"Franklin",1950,107
"Griswold",11959,38
"Groton",40126,42
"Lebanon",7322,36
"Ledyard",15051,47
"Lisbon",4334,20
"Lyme",2417,106
"Montville",19621,32
"New London",27588,41
"North Stonington",5291,18
"Norwich",40424,50
"Old Lyme",7598,21
"Preston",4751,41
"Salem",4173,20
"Sprague",2986,20
"Stonington",18527,39
"Voluntown",2608,19
"Waterford",19508,28
"Andover",3095,145
"Bolton",4971,22
"Columbia",5476,22
"Coventry",12435,20
"Ellington",15675,35
"Hebron",9638,30
"Mansfield",26379,37
"Somers",11447,20
"Stafford",12035,28
"Tolland",14977,51
"Union",1041,144
"Vernon",29179,33
"Willington",6018,16
"Ashford",4301,16
"Brooklyn",8220,19
"Canterbury",5119,21
"Chaplin",2408,145
"Eastford",1650,133
"Hampton",1815,119
"Killingly",17317,22
"Plainfield",15320,30
"Pomfret",4219,21
"Putnam",9548,42
"Scotland",1739,110
"Sterling",3801,14
"Thompson",9411,16
"Windham",25315,26
"Woodstock",7932,20
