"Town","Pct Population Under 18 below poverty Level","90% MoE"
"Connecticut",0.135569644292238,0.00371634541781698
"Bethel",0.0539675280128059,0.0260686245345422
"Bridgeport",0.33195179145989,0.0310052596055791
"Brookfield",0.00875796178343949,0.0164925299751395
"Danbury",0.118771165940977,0.0284881740658449
"Darien",0.0714766455781397,0.0326955342569898
"Easton",0.0171232876712329,0.0279536075398878
"Fairfield",0.0448921422556196,0.0129061996018448
"Greenwich",0.0306796822894561,0.00937459662289223
"Monroe",0.0753729897306723,0.0375624627831771
"New Canaan",0.01,0.0111995592303057
"New Fairfield",0.0140280561122244,0.018678078450659
"Newtown",0.0441030018494807,0.0251916009745811
"Norwalk",0.110364450902046,0.024213584162447
"Redding",0.0302534750613246,0.0380427629503671
"Ridgefield",0.0259449492954037,0.0140968194103805
"Shelton",0.0571577711079212,0.0197893487747772
"Sherman",0.0554245283018868,0.0591610660015245
"Stamford",0.147525228255646,0.0268122173505564
"Stratford",0.0768573868488471,0.0239339542640021
"Trumbull",0.0119786562125667,0.00890569686172165
"Weston",0.0103926096997691,0.0167140102992228
"Westport",0.0319501524592337,0.0142411189973677
"Wilton",0.034412955465587,0.0228459399105766
"Avon",0.0477031802120141,0.0283204432520373
"Berlin",0.0672875436554133,0.0394992068736705
"Bloomfield",0.0609560474815528,0.0383958957700231
"Bristol",0.144564781387886,0.0328093517060897
"Burlington",0.0399051758198341,0.0322945693965803
"Canton",0.0231707317073171,0.0342373888088332
"East Granby",0.0593971631205674,0.066031916580779
"East Hartford",0.171584406294707,0.0383473029377097
"East Windsor",0.0603674540682415,0.045614678096652
"Enfield",0.074697912852435,0.0276870064326682
"Farmington",0.034328100741763,0.0214059231288098
"Glastonbury",0.0292660963529941,0.0170834776043753
"Granby",0.0114391143911439,0.0227244661517143
"Hartford",0.449914788865745,0.0335351398924528
"Hartland",0.0333988212180747,0.0638937097458175
"Manchester",0.166573460094272,0.0396598831357641
"Marlborough",0,0.0312883435582822
"New Britain",0.311838306063523,0.040818512875019
"Newington",0.0478207164284454,0.0228914558050228
"Plainville",0.0865990682378734,0.0569284913746267
"Rocky Hill",0.0724993855984271,0.0456767940056128
"Simsbury",0.00521491782553729,0.00944879738803956
"Southington",0.0545434946642233,0.0215106974180784
"South Windsor",0.0672458172458172,0.0505860131565948
"Suffield",0.054872280037843,0.0579542260395517
"West Hartford",0.075696076336965,0.0199429989777012
"Wethersfield",0.0547432239657632,0.0216274221244538
"Windsor",0.0747170981243218,0.0247180518037206
"Windsor Locks",0.109098567818029,0.0517447640914955
"Barkhamsted",0,0.0420560747663551
"Bethlehem",0,0.0563380281690141
"Bridgewater",0,0.108761329305136
"Canaan",0.0697674418604651,0.199866335755764
"Colebrook",0.0580204778156997,0.123586082090813
"Cornwall",0.259358288770053,0.176840149804236
"Goshen",0.0823117338003503,0.115453665402199
"Harwinton",0.0758620689655172,0.0684988939537288
"Kent",0.120567375886525,0.124013998041979
"Litchfield",0.100483610961848,0.0516159909294683
"Morris",0.0243407707910751,0.0780309297221466
"New Hartford",0.0240384615384615,0.0342520120404718
"New Milford",0.0570589144889439,0.0236084663444781
"Norfolk",0.13961038961039,0.142945107195695
"North Canaan",0.172981878088962,0.134430672777497
"Plymouth",0.0881688018085908,0.0501467467911555
"Roxbury",0,0.0913705583756345
"Salisbury",0,0.0614334470989761
"Sharon",0,0.0893300248138958
"Thomaston",0.0189959294436906,0.0381914980692
"Torrington",0.140270192584076,0.0397593360129383
"Warren",0.155339805825243,0.139116320596412
"Washington",0.0471380471380471,0.0821782466896552
"Watertown",0.00964216841654168,0.0163426311867723
"Winchester",0.072400175515577,0.0511216079051355
"Woodbury",0.0471607314725698,0.0365103616828206
"Chester",0.0204313280363224,0.0508537344546032
"Clinton",0.0885703785373025,0.0412528283614817
"Cromwell",0.0179487179487179,0.0208851896817012
"Deep River",0,0.0417149478563152
"Durham",0.0114882506527415,0.0314099047179277
"East Haddam",0.102014010507881,0.0733567236660335
"East Hampton",0.0327349524815206,0.0302573906684936
"Essex",0.033987915407855,0.0509011816495491
"Haddam",0.0705697856769472,0.0587966491045484
"Killingworth",0,0.0357894736842105
"Middlefield",0.00872938894277401,0.0356351943303458
"Middletown",0.154452417362663,0.0382239196089174
"Old Saybrook",0.0441501103752759,0.059841241311115
"Portland",0.0159629248197734,0.0329745691127831
"Westbrook",0.013745704467354,0.0470241162693125
"Ansonia",0.326838320575273,0.121390753352059
"Beacon Falls",0.0359765051395007,0.0537925240650086
"Bethany",0.0233050847457627,0.0408370307964642
"Branford",0.114176399516714,0.0446048926266972
"Cheshire",0.0104233483001924,0.0135484796408199
"Derby",0.252835711672155,0.120411990770778
"East Haven",0.162099229804764,0.0516482718514247
"Guilford",0.0383289393632123,0.0203792613575688
"Hamden",0.0770859805167302,0.0267908251447095
"Madison",0.0212854757929883,0.0297019048713
"Meriden",0.233740458015267,0.0391021251979601
"Middlebury",0.0102102102102102,0.0368340987430276
"Milford",0.0585585585585586,0.0182013664585632
"Naugatuck",0.128267390372804,0.045203314014184
"New Haven",0.374341134303184,0.035899395701054
"North Branford",0.026152337365152,0.0283555760876571
"North Haven",0.0362583136665952,0.0216699189965803
"Orange",0.00735744941753525,0.0183957358837933
"Oxford",0.0407298794395569,0.0423945875641183
"Prospect",0.0318979266347687,0.0367408173605806
"Seymour",0.0688906970436669,0.0504234443001047
"Southbury",0.0323121110579224,0.028527913181115
"Wallingford",0.0832260832260832,0.0245556659666364
"Waterbury",0.359815816401111,0.0384387956207786
"West Haven",0.165935549181711,0.0399542022871201
"Wolcott",0.0273115220483642,0.0271904027579221
"Woodbridge",0.0239348970799426,0.0296816583030779
"Bozrah",0.0830449826989619,0.0929238838409895
"Colchester",0.0471517472474868,0.0323708318762685
"East Lyme",0.0157676348547718,0.017097818638961
"Franklin",0.0223880597014925,0.0827594036694533
"Griswold",0.0689522342064715,0.0639938945463593
"Groton",0.0996394230769231,0.0295818632371706
"Lebanon",0,0.0334426229508197
"Ledyard",0.0652234249236747,0.0393966930685526
"Lisbon",0.0285714285714286,0.0544934303626573
"Lyme",0.0208333333333333,0.0774557075647477
"Montville",0.0676084762865792,0.0435219330052315
"New London",0.375707280271596,0.0876891243815003
"North Stonington",0.104109589041096,0.10231007742676
"Norwich",0.245236768802228,0.0600615755368931
"Old Lyme",0.0356182795698925,0.0382642760916403
"Preston",0.20746887966805,0.13567558099428
"Salem",0.0300096805421104,0.0380362375512176
"Sprague",0.171849427168576,0.148660626638879
"Stonington",0.0547052154195011,0.0320046981306852
"Voluntown",0.017175572519084,0.0637728199164186
"Waterford",0.0390023879013001,0.0239980503392145
"Andover",0.0742705570291777,0.0976439526291389
"Bolton",0.0161463939720129,0.0448300586385566
"Columbia",0.00779896013864818,0.0436671154843584
"Coventry",0.0286852589641434,0.0297176228176371
"Ellington",0.0314728300958938,0.0243393094623993
"Hebron",0.00238000793335978,0.0194828398611339
"Mansfield",0.0588235294117647,0.0380804830810156
"Somers",0.0498652291105121,0.0463017641774588
"Stafford",0.104795050270688,0.0540764014640685
"Tolland",0.0126710593005575,0.0165595653658037
"Union",0.0104166666666667,0.178032130503859
"Vernon",0.158058857922432,0.0548632057919835
"Willington",0.0700197238658777,0.0671664515699592
"Ashford",0.0876404494382022,0.0713879270760089
"Brooklyn",0.182016348773842,0.101104039915609
"Canterbury",0,0.0435897435897436
"Chaplin",0.068762278978389,0.0747972092920752
"Eastford",0.0265486725663717,0.0985873260890514
"Hampton",0.084375,0.111405884045271
"Killingly",0.135877024430414,0.0579250731175424
"Plainfield",0.170549581839904,0.0691376815303574
"Pomfret",0,0.0350194552529183
"Putnam",0.0978552278820375,0.0556300413844075
"Scotland",0.0437956204379562,0.0844750447522106
"Sterling",0.0994764397905759,0.0951770668581499
"Thompson",0.115904365904366,0.074124501116512
"Windham",0.350399344665165,0.082690021081943
"Woodstock",0.0234077299945563,0.0367811798116483
