"Town","Total Population below 200% FPL","90% MoE"
"Connecticut",799169,10610.6915891472
"Bethel",2783,550.813035430354
"Bridgeport",66722,3153.29161353656
"Brookfield",1232,347.465106161756
"Danbury",21761,2096.64636980107
"Darien",1751,577.017330762257
"Easton",281,123.060960503321
"Fairfield",5986,749.333704033123
"Greenwich",7060,844.414590115543
"Monroe",2750,724.356265935486
"New Canaan",1407,460.558356780115
"New Fairfield",1180,335.475781540188
"Newtown",3725,762.952161016666
"Norwalk",18275,1660.95033038318
"Redding",630,222.694858494757
"Ridgefield",1769,418.289373520294
"Shelton",4446,670.31186771532
"Sherman",294,140.253342206166
"Stamford",32671,2497.93354595354
"Stratford",10320,1223.24200385696
"Trumbull",2960,542.97329584428
"Weston",356,152.85614151875
"Westport",1792,426.171327050518
"Wilton",1351,379.243984790794
"Avon",1574,390.675056792726
"Berlin",2528,663.868209812761
"Bloomfield",3752,857.014002219334
"Bristol",14843,1512.73229621106
"Burlington",739,235.531314266278
"Canton",979,284.787640181241
"East Granby",508,222.461232577724
"East Hartford",17093,1722.91468157886
"East Windsor",2217,648.896756040589
"Enfield",7026,862.690558659361
"Farmington",2606,479.673847525587
"Glastonbury",3684,600.036665546365
"Granby",704,201.432370784837
"Hartford",69787,3009.72257857763
"Hartland",303,96.1769203083567
"Manchester",15173,1608.47443249807
"Marlborough",542,391.954078942929
"New Britain",32193,2111.27425977773
"Newington",4198,682.480768959829
"Plainville",3958,796.053390169277
"Rocky Hill",3475,713.696714298167
"Simsbury",1813,443.622587341988
"Southington",5301,702.404441899395
"South Windsor",2631,914.948632437909
"Suffield",1300,470.699479498331
"West Hartford",10701,1101.22885904793
"Wethersfield",3906,611.338694996481
"Windsor",4103,709.066287451321
"Windsor Locks",2171,483.818147654674
"Barkhamsted",132,67.1267457873536
"Bethlehem",590,246.197075530966
"Bridgewater",299,110.54863183233
"Canaan",259,77.0194780558788
"Colebrook",211,80.9382480660411
"Cornwall",355,120.552892955748
"Goshen",574,216.210545533746
"Harwinton",593,217.073720196619
"Kent",637,219.995454498496
"Litchfield",1400,320.725739534575
"Morris",424,137.698946982176
"New Hartford",685,226.759784794394
"New Milford",4394,807.639152097024
"Norfolk",332,112.133848591761
"North Canaan",863,310.552733042232
"Plymouth",2265,531.47718671642
"Roxbury",237,88.2213126177569
"Salisbury",621,237.932763611908
"Sharon",632,218.407875315887
"Thomaston",954,248.265986393626
"Torrington",9860,1028.96598583238
"Warren",219,82.2921624457639
"Washington",377,156.252999971201
"Watertown",2585,506.531341577202
"Winchester",2582,589.00424446688
"Woodbury",1451,364.960271810508
"Chester",590,188.300292086869
"Clinton",2643,553.728272711445
"Cromwell",1829,486.89834668029
"Deep River",864,420.768344816955
"Durham",328,194.694632694381
"East Haddam",1184,413.644775139249
"East Hampton",1148,322.473254704945
"Essex",784,285.397967757305
"Haddam",725,358.234560030157
"Killingworth",406,204.18618954278
"Middlefield",551,185.183692586577
"Middletown",10743,1060.42585785146
"Old Saybrook",1878,570.99211903493
"Portland",1002,284.545251234316
"Westbrook",1537,515.757695046812
"Ansonia",6615,1264.9189697368
"Beacon Falls",639,243.207730140306
"Bethany",335,122.605056991953
"Branford",4444,649.195656177704
"Cheshire",1658,334.164630085232
"Derby",3513,894.471911241488
"East Haven",6598,987.756042755497
"Guilford",2106,422.764709974709
"Hamden",11486,1282.31119467936
"Madison",1862,493.889663791418
"Meriden",19861,1677.20422131594
"Middlebury",933,315.068246575246
"Milford",8263,986.750221687332
"Naugatuck",7090,1062.77043617142
"New Haven",58530,2992.89040895252
"North Branford",1839,595.222647418594
"North Haven",2310,491.742818961294
"Orange",961,253.033594607515
"Oxford",1032,399.276846310927
"Prospect",915,248.145118831703
"Seymour",2652,588.160692328211
"Southbury",3180,759.894729551403
"Wallingford",6393,828.212533109708
"Waterbury",47591,2648.47578807132
"West Haven",16218,1722.9297722194
"Wolcott",1548,411.712278174941
"Woodbridge",773,344.627334957632
"Bozrah",435,180.75397644312
"Colchester",1926,503.269311601651
"East Lyme",1843,323.193440527496
"Franklin",241,76.2692598626734
"Griswold",2931,678.231523891363
"Groton",8575,1019.56706498396
"Lebanon",916,283.158965953755
"Ledyard",1654,543.069056382335
"Lisbon",642,225.732142150824
"Lyme",379,198.743553354568
"Montville",2953,719.001390819239
"New London",10666,1164.84247862104
"North Stonington",1129,511.580883145569
"Norwich",13224,1543.53004505905
"Old Lyme",859,272.1084342684
"Preston",1228,459.296200724543
"Salem",353,142.351677194194
"Sprague",494,206.842935581566
"Stonington",2726,573.411719447728
"Voluntown",355,158.555983803829
"Waterford",2714,507.979330288153
"Andover",406,176.195913687009
"Bolton",408,151.38031576133
"Columbia",840,450.863615742056
"Coventry",1206,353.118960125338
"Ellington",1561,569.605126381426
"Hebron",730,281.801348470869
"Mansfield",3985,682.939235950022
"Somers",1023,295.474195150778
"Stafford",2622,536.009328277037
"Tolland",1195,382.391160985711
"Union",73,46.357307945997
"Vernon",6371,885.482919089917
"Willington",1476,454.335778912469
"Ashford",918,394.839207779572
"Brooklyn",2205,658.255269633294
"Canterbury",505,178.737237306612
"Chaplin",304,125.598566870805
"Eastford",170,57.3410847473258
"Hampton",256,80.2807573457052
"Killingly",4820,740.485651447751
"Plainfield",3075,637.037675494943
"Pomfret",323,151.188623910663
"Putnam",3518,670.470730159043
"Scotland",263,113.885907820064
"Sterling",969,363.20792942886
"Thompson",2013,495.184813983628
"Windham",10442,1124.20282867461
"Woodstock",851,295.776942982377
