"Town","Percent Population below Poverty Level","90% MoE"
"Connecticut",0.102021878612426,0.00196396972697292
"Bethel",0.0391276459268762,0.0131455763541348
"Bridgeport",0.233418881371031,0.0161675267691695
"Brookfield",0.0255483248975657,0.0160636525818638
"Danbury",0.105582786937424,0.015235789169789
"Darien",0.0664652567975831,0.0261842240346573
"Easton",0.0210596026490066,0.0125720231386225
"Fairfield",0.046661958824488,0.00930100951927802
"Greenwich",0.0435158877894256,0.00771641435623803
"Monroe",0.0509917903217582,0.0231942310370591
"New Canaan",0.0234315948601663,0.00898742698828822
"New Fairfield",0.0155823639235962,0.00700919265435063
"Newtown",0.0459697732997481,0.0194252557283409
"Norwalk",0.0970725804574966,0.0122901647930122
"Redding",0.0347456704062738,0.0186719439920815
"Ridgefield",0.0305507222919111,0.0102206793986106
"Shelton",0.0470728248759242,0.00946971206037604
"Sherman",0.0230619616560156,0.018503394292202
"Stamford",0.111465616174113,0.0135926752044253
"Stratford",0.0626292178661986,0.0109498331925269
"Trumbull",0.0207208726945569,0.00611909951729036
"Weston",0.017752633632462,0.0100542764444254
"Westport",0.0351465380848339,0.0102411336767165
"Wilton",0.0367432380322812,0.0168516459173521
"Avon",0.0413172655078581,0.0161611410758817
"Berlin",0.0476806045840998,0.021105468253438
"Bloomfield",0.067886805590093,0.0193193402043256
"Bristol",0.105177020708083,0.0148306382600966
"Burlington",0.0359121909633419,0.0189739604944673
"Canton",0.0377875673029858,0.0176465933855586
"East Granby",0.0357426528991263,0.0308921447184227
"East Hartford",0.133629541864139,0.0201516794276971
"East Windsor",0.0548637430066775,0.024246692746268
"Enfield",0.0699095575653874,0.0133679917954495
"Farmington",0.0499405469678954,0.0132244002218405
"Glastonbury",0.032012373059414,0.00978894824607933
"Granby",0.0203444275898992,0.0095322767986491
"Hartford",0.336165100247957,0.0180762364409484
"Hartland",0.0511793502447708,0.0246027604344731
"Manchester",0.104604977885699,0.0179190498700558
"Marlborough",0.0100735529261273,0.0105184033725258
"New Britain",0.223612241692015,0.0210753904160695
"Newington",0.0439658594680429,0.0106145336908171
"Plainville",0.0666893694307282,0.0224762116359172
"Rocky Hill",0.0775764439411099,0.0240874005333409
"Simsbury",0.0191953382749904,0.00620387339077007
"Southington",0.0427987384651326,0.00971415925368346
"South Windsor",0.0446743475193981,0.0268256961577459
"Suffield",0.0420161659295409,0.029071689293356
"West Hartford",0.0733904672076496,0.0113933163027255
"Wethersfield",0.058109640831758,0.0148613680865501
"Windsor",0.0533090807331748,0.0155062654007848
"Windsor Locks",0.0787849643343752,0.0283156645885164
"Barkhamsted",0.0115034777956126,0.00809546967554471
"Bethlehem",0.0475113122171946,0.0226908488910407
"Bridgewater",0.0242914979757085,0.0139152753068486
"Canaan",0.0709281961471103,0.0277918695917539
