"Town","Total Population Under 18","90% MoE"
"Connecticut",804045,3326
"Bethel",4375,417
"Bridgeport",37254,1211
"Brookfield",3768,427
"Danbury",16806,907
"Darien",7460,465
"Easton",2044,240
"Fairfield",15677,704
"Greenwich",16547,757
"Monroe",5179,473
"New Canaan",6420,522
"New Fairfield",3577,344
"Newtown",7087,485
"Norwalk",16661,888
"Redding",2446,282
"Ridgefield",7593,535
"Shelton",7734,616
"Sherman",876,193
"Stamford",27509,1170
"Stratford",10690,644
"Trumbull",9227,569
"Weston",3473,308
"Westport",7633,562
"Wilton",5928,443
"Avon",4546,398
"Berlin",4295,432
"Bloomfield",3121,397
"Bristol",12556,757
"Burlington",2531,299
"Canton",2460,321
"East Granby",1128,226
"East Hartford",11323,728
"East Windsor",2303,416
"Enfield",8274,565
"Farmington",5808,475
"Glastonbury",8884,560
"Granby",2710,346
"Hartford",32216,1118
"Hartland",519,73
"Manchester",12555,761
"Marlborough",1674,282
"New Britain",16862,884
"Newington",5721,448
"Plainville",3675,451
"Rocky Hill",4069,480
"Simsbury",6352,440
"Southington",9324,545
"South Windsor",6369,569
"Suffield",3205,377
"West Hartford",14162,688
"Wethersfield",5630,466
"Windsor",6462,537
"Windsor Locks",2385,308
"Barkhamsted",890,178
"Bethlehem",678,150
"Bridgewater",331,71
"Canaan",178,42
"Colebrook",306,59
"Cornwall",374,80
"Goshen",571,161
"Harwinton",1177,181
"Kent",564,151
"Litchfield",1889,226
"Morris",498,90
"New Hartford",1675,297
"New Milford",6523,514
"Norfolk",311,72
"North Canaan",642,170
"Plymouth",2669,304
"Roxbury",394,94
"Salisbury",611,184
"Sharon",412,114
"Thomaston",1548,223
"Torrington",7141,522
"Warren",312,65
"Washington",671,135
"Watertown",4741,490
"Winchester",2354,390
"Woodbury",2078,283
"Chester",881,177
"Clinton",2810,323
"Cromwell",2730,329
"Deep River",880,186
"Durham",1919,286
"East Haddam",2284,296
"East Hampton",2912,328
"Essex",1324,261
"Haddam",1913,307
"Killingworth",1425,232
"Middlefield",1031,172
"Middletown",8646,557
"Old Saybrook",2281,317
"Portland",1942,285
"Westbrook",1208,237
"Ansonia",4311,603
"Beacon Falls",1362,258
"Bethany",1416,202
"Branford",4973,464
"Cheshire",6482,506
"Derby",2733,410
"East Haven",5623,535
"Guilford",4952,466
"Hamden",11929,740
"Madison",4954,449
"Meriden",13322,791
"Middlebury",1665,222
"Milford",10752,642
"Naugatuck",7175,659
"New Haven",28708,1110
"North Branford",3098,415
"North Haven",4686,414
"Orange",3262,321
"Oxford",3086,396
"Prospect",1963,309
"Seymour",3746,414
"Southbury",4220,416
"Wallingford",9404,622
"Waterbury",27646,1149
"West Haven",11947,830
"Wolcott",3572,411
"Woodbridge",2089,305
"Bozrah",578,102
"Colchester",4202,388
"East Lyme",3638,364
"Franklin",413,57
"Griswold",2628,390
"Groton",8373,563
"Lebanon",1527,233
"Ledyard",3605,379
"Lisbon",980,175
"Lyme",480,109
"Montville",4020,465
"New London",5462,509
"North Stonington",1097,227
"Norwich",9195,668
"Old Lyme",1489,220
"Preston",964,182
"Salem",1048,151
"Sprague",650,136
"Stonington",3551,326
"Voluntown",524,101
"Waterford",3850,377
"Andover",754,144
"Bolton",931,150
"Columbia",1154,211
"Coventry",2519,380
"Ellington",4067,489
"Hebron",2533,288
"Mansfield",2938,353
"Somers",2226,262
"Stafford",2605,323
"Tolland",3946,400
"Union",208,69
"Vernon",5242,479
"Willington",1014,239
"Ashford",925,172
"Brooklyn",1845,302
"Canterbury",1170,228
"Chaplin",531,121
"Eastford",340,61
"Hampton",333,67
"Killingly",3650,392
"Plainfield",3348,396
"Pomfret",1046,226
"Putnam",2321,336
"Scotland",411,82
"Sterling",1038,229
"Thompson",1954,291
"Windham",4986,419
"Woodstock",1853,316
