"Town","Total Population Under 18 100-200% FPL","90% MoE"
"Connecticut",119785,3000
"Bethel",613,171
"Bridgeport",11030,884
"Brookfield",105,89
"Danbury",3854,636
"Darien",67,102
"Easton",27,64
"Fairfield",785,205
"Greenwich",1229,286
"Monroe",506,215
"New Canaan",408,237
"New Fairfield",232,115
"Newtown",648,216
"Norwalk",2469,463
"Redding",45,68
"Ridgefield",173,124
"Shelton",582,196
"Sherman",39,56
"Stamford",5221,687
"Stratford",1831,376
"Trumbull",411,147
"Weston",59,79
"Westport",158,108
"Wilton",190,105
"Avon",162,118
"Berlin",255,209
"Bloomfield",451,181
"Bristol",2203,458
"Burlington",45,69
"Canton",137,116
"East Granby",21,72
"East Hartford",3012,471
"East Windsor",544,311
"Enfield",866,234
"Farmington",245,116
"Glastonbury",704,231
"Granby",48,82
"Hartford",9525,835
"Hartland",84,45
"Manchester",2960,489
"Marlborough",253,171
"New Britain",5062,640
"Newington",791,250
"Plainville",911,335
"Rocky Hill",435,197
"Simsbury",474,226
"Southington",734,208
"South Windsor",467,259
"Suffield",180,122
"West Hartford",1439,324
"Wethersfield",500,190
"Windsor",811,218
"Windsor Locks",233,132
"Barkhamsted",15,51
"Bethlehem",171,115
"Bridgewater",101,71
"Canaan",17,43
"Colebrook",34,50
"Cornwall",37,38
"Goshen",40,50
"Harwinton",59,72
"Kent",88,79
"Litchfield",223,108
"Morris",66,55
"New Hartford",0,66
"New Milford",874,290
"Norfolk",43,47
"North Canaan",132,129
"Plymouth",497,188
"Roxbury",41,51
"Salisbury",95,93
"Sharon",110,86
"Thomaston",161,107
"Torrington",1362,320
"Warren",34,44
"Washington",54,64
"Watertown",344,161
"Winchester",447,236
"Woodbury",227,124
"Chester",65,85
"Clinton",303,140
"Cromwell",196,124
"Deep River",234,145
"Durham",67,93
"East Haddam",176,114
"East Hampton",136,112
"Essex",76,85
"Haddam",120,149
"Killingworth",97,107
"Middlefield",102,75
"Middletown",1089,266
"Old Saybrook",431,243
"Portland",60,68
"Westbrook",141,135
"Ansonia",778,293
"Beacon Falls",132,106
"Bethany",44,62
"Branford",416,162
"Cheshire",120,100
"Derby",468,246
"East Haven",889,281
"Guilford",274,155
"Hamden",1933,420
"Madison",201,107
"Meriden",3347,499
"Middlebury",162,113
"Milford",1302,318
"Naugatuck",915,268
"New Haven",6831,748
"North Branford",470,228
"North Haven",283,171
"Orange",83,83
"Oxford",128,122
"Prospect",66,75
"Seymour",319,146
"Southbury",390,182
"Wallingford",702,186
"Waterbury",6568,701
"West Haven",2956,531
"Wolcott",214,118
"Woodbridge",179,125
"Bozrah",94,74
"Colchester",540,202
"East Lyme",206,109
"Franklin",44,41
"Griswold",590,294
"Groton",1837,417
"Lebanon",84,81
"Ledyard",364,179
"Lisbon",116,81
"Lyme",107,87
"Montville",469,178
"New London",1371,312
"North Stonington",283,181
"Norwich",1827,346
"Old Lyme",122,90
"Preston",260,155
"Salem",38,56
"Sprague",27,49
"Stonington",220,126
"Voluntown",76,63
"Waterford",386,157
"Andover",64,60
"Bolton",73,62
"Columbia",263,165
"Coventry",114,111
"Ellington",349,192
"Hebron",207,132
"Mansfield",303,208
"Somers",199,104
"Stafford",436,168
"Tolland",269,163
"Union",18,46
"Vernon",754,237
"Willington",183,119
"Ashford",273,131
"Brooklyn",498,288
"Canterbury",20,63
"Chaplin",45,46
"Eastford",16,40
"Hampton",25,45
"Killingly",519,174
"Plainfield",445,185
"Pomfret",32,57
"Putnam",658,251
"Scotland",84,55
"Sterling",220,133
"Thompson",301,164
"Windham",1317,312
"Woodstock",70,99
