"Town","Total Population Under 18 below 200% FPL","90% MoE"
"Connecticut",227579,4232
"Bethel",849,204
"Bridgeport",23204,1387
"Brookfield",138,109
"Danbury",5818,785
"Darien",598,261
"Easton",62,86
"Fairfield",1478,284
"Greenwich",1735,324
"Monroe",895,288
"New Canaan",472,247
"New Fairfield",281,132
"Newtown",958,278
"Norwalk",4292,604
"Redding",119,115
"Ridgefield",370,163
"Shelton",1020,245
"Sherman",86,74
"Stamford",9212,984
"Stratford",2641,451
"Trumbull",521,168
"Weston",95,98
"Westport",399,152
"Wilton",394,171
"Avon",378,173
"Berlin",544,268
"Bloomfield",641,216
"Bristol",4005,605
"Burlington",146,106
"Canton",194,143
"East Granby",88,103
"East Hartford",4931,627
"East Windsor",682,327
"Enfield",1478,324
"Farmington",444,169
"Glastonbury",964,276
"Granby",79,103
"Hartford",23781,1267
"Hartland",101,55
"Manchester",5045,685
"Marlborough",253,178
"New Britain",10246,893
"Newington",1062,281
"Plainville",1227,393
"Rocky Hill",730,268
"Simsbury",507,234
"Southington",1240,286
"South Windsor",885,406
"Suffield",354,220
"West Hartford",2502,425
"Wethersfield",807,224
"Windsor",1293,268
"Windsor Locks",492,177
"Barkhamsted",15,63
"Bethlehem",171,121
"Bridgewater",101,80
"Canaan",29,55
"Colebrook",51,61
"Cornwall",134,72
"Goshen",87,82
"Harwinton",147,106
"Kent",156,104
"Litchfield",410,142
"Morris",78,67
"New Hartford",40,87
"New Milford",1243,326
"Norfolk",86,64
"North Canaan",237,150
"Plymouth",731,228
"Roxbury",41,62
"Salisbury",95,99
"Sharon",110,93
"Thomaston",189,121
"Torrington",2338,417
"Warren",82,60
"Washington",82,80
"Watertown",389,178
"Winchester",612,261
"Woodbury",325,145
"Chester",83,96
"Clinton",544,178
"Cromwell",245,136
"Deep River",234,150
"Durham",89,111
"East Haddam",409,201
"East Hampton",229,141
"Essex",121,108
"Haddam",255,185
"Killingworth",97,119
"Middlefield",111,84
"Middletown",2402,412
"Old Saybrook",531,278
"Portland",91,94
"Westbrook",157,146
"Ansonia",2187,570
"Beacon Falls",181,129
"Bethany",77,85
"Branford",983,270
"Cheshire",185,131
"Derby",1159,397
"East Haven",1794,395
"Guilford",463,183
"Hamden",2843,523
"Madison",303,178
"Meriden",6409,690
"Middlebury",179,128
"Milford",1926,370
"Naugatuck",1813,407
"New Haven",17484,1190
"North Branford",550,244
"North Haven",452,198
"Orange",107,102
"Oxford",253,177
"Prospect",126,101
"Seymour",573,235
"Southbury",525,217
"Wallingford",1478,291
"Waterbury",16414,1195
"West Haven",4923,698
"Wolcott",310,151
"Woodbridge",229,139
"Bozrah",142,91
"Colchester",737,242
"East Lyme",263,125
"Franklin",53,53
"Griswold",769,337
"Groton",2666,482
"Lebanon",84,96
"Ledyard",599,227
"Lisbon",144,97
"Lyme",117,94
"Montville",737,246
"New London",3363,523
"North Stonington",397,211
"Norwich",4028,619
"Old Lyme",175,106
"Preston",460,200
"Salem",69,68
"Sprague",132,101
"Stonington",413,168
"Voluntown",85,71
"Waterford",533,180
"Andover",120,94
"Bolton",88,74
"Columbia",272,173
"Coventry",186,134
"Ellington",477,215
"Hebron",213,141
"Mansfield",462,232
"Somers",310,146
"Stafford",707,216
"Tolland",319,176
"Union",20,57
"Vernon",1565,360
"Willington",254,136
"Ashford",351,145
"Brooklyn",832,337
"Canterbury",20,81
"Chaplin",80,59
"Eastford",25,52
"Hampton",52,57
"Killingly",1014,268
"Plainfield",1016,289
"Pomfret",32,68
"Putnam",877,278
"Scotland",102,65
"Sterling",315,160
"Thompson",524,215
"Windham",3028,486
"Woodstock",113,120
