"Town","Total Population below Poverty Level","90% MoE"
"Connecticut",354348,6821.68901372673
"Bethel",732,245.977641260339
"Bridgeport",33015,2288.95281733809
"Brookfield",424,266.595198756467
"Danbury",8293,1197.47776597313
"Darien",1386,546.044869951179
"Easton",159,94.9210198006743
"Fairfield",2577,514.401594087732
"Greenwich",2665,472.619297109206
"Monroe",1000,454.868112753576
"New Canaan",465,178.361991466792
"New Fairfield",217,97.6217188949262
"Newtown",1241,524.470208877492
"Norwalk",8343,1056.45492095025
"Redding",319,171.4322023425
"Ridgefield",755,252.606413220251
"Shelton",1859,374.065502285362
"Sherman",83,66.6033032213869
"Stamford",13695,1670.34966399254
"Stratford",3211,561.458814161823
"Trumbull",737,217.690146768291
"Weston",182,103.077640640442
"Westport",933,271.900717174486
"Wilton",667,305.949342212073
"Avon",744,291.034362232366
"Berlin",959,424.499705535822
"Bloomfield",1365,388.603911457412
"Bristol",6298,888.32032510801
"Burlington",337,178.058978992917
"Canton",386,180.294204011111
"East Granby",180,155.630973780928
"East Hartford",6767,1020.84866655151
"East Windsor",608,268.793601114312
"Enfield",2860,548.41681228788
"Farmington",1260,333.677988485905
"Glastonbury",1097,335.466838897677
"Granby",228,106.831643252362
"Hartford",39452,2132.70157312269
"Hartland",115,55.6057550978314
"Manchester",6031,1033.19407663807
"Marlborough",63,65.7875368135941
"New Britain",15658,1477.73069265005
"Newington",1329,320.914318783067
"Plainville",1175,396.065651123649
"Rocky Hill",1507,468.001068374849
"Simsbury",448,144.806767797641
"Southington",1832,415.906239433842
"South Windsor",1140,684.573589908346
"Suffield",551,381.431514167353
"West Hartford",4513,700.927956355002
"Wethersfield",1537,393.15137033972
"Windsor",1524,443.401623812994
"Windsor Locks",983,353.307231740308
"Barkhamsted",43,30.2654919008431
"Bethlehem",168,80.2620707432845
"Bridgewater",42,24.2074368738204
"Canaan",81,32.649655434629
"Colebrook",54,27.5136329843952
"Cornwall",187,106.301458127346
"Goshen",339,179.824914847749
"Harwinton",237,136.95254652616
"Kent",262,124.036285013701
"Litchfield",569,224.474942922367
"Morris",135,75.0066663703967
"New Hartford",166,107.042047812997
"New Milford",1596,440.40549497026
"Norfolk",108,53.8237865631916
"North Canaan",292,170.46993869888
"Plymouth",792,288.729977660789
"Roxbury",74,38.6264158316559
"Salisbury",165,91.0219753685889
"Sharon",170,102.200782775867
"Thomaston",223,93.1933474020544
"Torrington",3903,690.669964599591
"Warren",107,58.6003412959344
"Washington",187,95.9635347410671
"Watertown",723,233.420221917468
"Winchester",765,275.274408545364
"Woodbury",582,227.975875916729
"Chester",203,95.2680429105164
"Clinton",1005,332.121965548803
"Cromwell",566,273.162955028679
"Deep River",130,82.6801064343775
"Durham",69,53.665631459995
"East Haddam",505,314.197390186488
"East Hampton",434,180.247052680481
"Essex",342,196.900990347941
"Haddam",324,222.434259951115
"Killingworth",21,37.1214223865412
"Middlefield",125,55.4707129934346
"Middletown",5121,685.294827063506
"Old Saybrook",546,270.647372054487
"Portland",483,229.401394939089
"Westbrook",333,180.679273852869
"Ansonia",3540,948.460858443826
"Beacon Falls",189,132.969921410821
"Bethany",186,89
"Branford",1995,436.033255612459
"Cheshire",663,210.836429489782
"Derby",1675,627.114822022251
"East Haven",2835,619.787866935131
"Guilford",824,228.674441072893
"Hamden",4627,867.329233912936
"Madison",515,361.643470838338
"Meriden",8618,1129.66410937057
"Middlebury",272,99.8098191562333
"Milford",2783,507.078889325912
"Naugatuck",3116,705.932008057433
"New Haven",32135,2147.12086292318
"North Branford",426,229.584407136025
"North Haven",923,275.661023722978
"Orange",337,155.682368943949
"Oxford",505,312.950475315185
"Prospect",350,147.122398022871
"Seymour",1182,454.077085966689
"Southbury",1150,553.675897976424
"Wallingford",2684,566.498896733259
"Waterbury",25247,1997.76124699625
"West Haven",6112,1127.43824664591
"Wolcott",477,234.360832905159
"Woodbridge",233,235.805004187782
"Bozrah",154,103.247275993122
"Colchester",514,266.129667643425
"East Lyme",569,186.453747615863
"Franklin",79,39.560080889705
"Griswold",986,346.953887425981
"Groton",3178,608.830025540791
"Lebanon",353,160.377679244962
"Ledyard",585,310.48510431259
"Lisbon",118,83.7257427557379
"Lyme",89,54.4242592967511
"Montville",950,430.405622639854
"New London",5889,848.957596114199
"North Stonington",300,242.538656712698
"Norwich",5984,1079.60038903291
"Old Lyme",233,150.416089564913
"Preston",483,278.820730936564
"Salem",111,72.3463889907437
"Sprague",256,164.201096220458
"Stonington",847,267.525699700047
"Voluntown",60,38.0131556174964
"Waterford",1034,273.117190963879
"Andover",134,125.514939349864
"Bolton",95,72.5327512231543
"Columbia",219,115.108644332213
"Coventry",384,204.43091742689
"Ellington",300,172.930621926829
"Hebron",124,69.6419413859206
"Mansfield",2431,491.244338389767
"Somers",404,170.880074906351
"Stafford",1128,314.230806892004
"Tolland",309,159.389460128328
"Union",8,14.422205101856
"Vernon",2671,586.750372816243
"Willington",743,327.713289324678
"Ashford",233,133.701159306866
"Brooklyn",817,366.531035520868
"Canterbury",159,114.529472189476
"Chaplin",110,78.8923316932641
"Eastford",49,29.0688837074973
"Hampton",115,60.3738353924943
"Killingly",1921,471.033969051065
"Plainfield",1477,475.89599704137
"Pomfret",120,101.513545894132
"Putnam",1040,312.851402426136
"Scotland",34,25.4558441227157
"Sterling",428,245.904452989367
"Thompson",711,310.409407073948
"Windham",5495,820.071338360267
"Woodstock",236,133.7348122218
