"Town","Pct Population Under 18 below 200% FPL","90% MoE"
"Connecticut",0.286220050080554,0.0052021069390468
"Bethel",0.194145895266407,0.0436713662934023
"Bridgeport",0.632709821672029,0.0320181922212074
"Brookfield",0.036624203821656,0.0285937000183938
"Danbury",0.351838413159168,0.0439937136099635
"Darien",0.0804953560371517,0.0347639951491924
"Easton",0.0303326810176125,0.0417792012524711
"Fairfield",0.0957439917082335,0.0179221498779356
"Greenwich",0.10519614381859,0.0191722465049042
"Monroe",0.173416004650262,0.0538070275612242
"New Canaan",0.07375,0.0383293590298789
"New Fairfield",0.0804466075007157,0.0370507176142009
"Newtown",0.136292502489686,0.0384359422706613
"Norwalk",0.259837752754571,0.0336895526448304
"Redding",0.0486508585445626,0.0465322316321223
"Ridgefield",0.0487290925852759,0.0212643293976585
"Shelton",0.133107138196529,0.0300776052261662
"Sherman",0.101415094339623,0.0845667133761581
"Stamford",0.340516763390382,0.0333112710794398
"Stratford",0.250593035392352,0.0402310426738729
"Trumbull",0.0567352716977023,0.0179942421782842
"Weston",0.0274249422632794,0.028144188735769
"Westport",0.052896725440806,0.019824481974264
"Wilton",0.0664642375168691,0.0283111765549638
"Avon",0.0834805653710247,0.0373970771117013
"Berlin",0.126658905704307,0.0610148223138873
"Bloomfield",0.205646454924607,0.065133483642907
"Bristol",0.32129963898917,0.0445381770114659
"Burlington",0.0576847096009482,0.0413571525058665
"Canton",0.0788617886178862,0.0575044577561416
"East Granby",0.0780141843971631,0.0904971748504202
"East Hartford",0.440897711015737,0.0494621769310289
"East Windsor",0.298337707786527,0.132678947837444
"Enfield",0.180397900646894,0.0378565178062913
"Farmington",0.0765913403484561,0.0284243192428754
"Glastonbury",0.108509680324178,0.0301439478686021
"Granby",0.0291512915129151,0.0377707635865669
"Hartford",0.750520734709335,0.0313990820258735
"Hartland",0.198428290766208,0.105269028896399
"Manchester",0.403051849484701,0.0491783126229185
"Marlborough",0.15521472392638,0.106539301201771
"New Britain",0.616337824831569,0.0432643751380247
"Newington",0.187400741132875,0.0473276331656118
"Plainville",0.336256508632502,0.0998226799013614
"Rocky Hill",0.179405259277464,0.0624195589037501
"Simsbury",0.0801201011378003,0.0365490098081578
"Southington",0.133663899967662,0.029656501651948
"South Windsor",0.142374517374517,0.0641695978049402
"Suffield",0.111636707663198,0.0679075339009863
"West Hartford",0.178167058320872,0.0292803137644275
"Wethersfield",0.143901569186876,0.0382947767412612
"Windsor",0.200434041233917,0.0383596636207772
"Windsor Locks",0.207245155855097,0.069030111016654
"Barkhamsted",0.0175233644859813,0.0731876948300012
