"Town","Total Population Under 18","90% MoE"
"Connecticut",804045,3325.62294916306
"Bethel",4375,417.076731549484
"Bridgeport",37254,1211.20848742072
"Brookfield",3768,426.98946122826
"Danbury",16806,907.195127852878
"Darien",7460,464.82254678533
"Easton",2044,239.576710053377
"Fairfield",15677,703.923291275406
"Greenwich",16547,756.884403327219
"Monroe",5179,473.417363433155
"New Canaan",6420,522.090030550287
"New Fairfield",3577,343.738272527224
"Newtown",7087,485.042266199555
"Norwalk",16661,887.53309797438
"Redding",2446,281.643391543278
"Ridgefield",7593,534.814921257812
"Shelton",7734,615.769437370839
"Sherman",876,192.9144888286
"Stamford",27509,1169.80340228604
"Stratford",10690,644.239862163154
"Trumbull",9227,569.477830999592
"Weston",3473,307.771018778572
"Westport",7633,561.941278070939
"Wilton",5928,443.183934726881
"Avon",4546,398.477100973193
"Berlin",4295,432.037035449509
"Bloomfield",3121,397.21908312668
"Bristol",12556,756.725842032635
"Burlington",2531,298.842768023588
"Canton",2460,320.647781841696
"East Granby",1128,225.554871372799
"East Hartford",11323,727.679874670174
"East Windsor",2303,415.505715965497
"Enfield",8274,564.605171779359
"Farmington",5808,475.402986948967
"Glastonbury",8884,560.332936743861
"Granby",2710,346.105475252848
"Hartford",32216,1117.53791881976
"Hartland",519,73.1641988953614
"Manchester",12555,761.132051617852
"Marlborough",1674,282.214457460988
"New Britain",16862,884.084272001261
"Newington",5721,448.141718656052
"Plainville",3675,450.944564220482
"Rocky Hill",4069,480.023957735445
"Simsbury",6352,440.383923412288
"Southington",9324,544.521808562338
"South Windsor",6369,569.341725152829
"Suffield",3205,376.674926163131
"West Hartford",14162,688.395235311808
"Wethersfield",5630,465.761741666273
"Windsor",6462,537.012104146638
"Windsor Locks",2385,307.540241269334
"Barkhamsted",890,177.544360653894
"Bethlehem",678,150.159914757568
"Bridgewater",331,70.760158281338
"Canaan",178,42.0832508250016
"Colebrook",306,59.016946718718
"Cornwall",374,80.0999375780031
"Goshen",571,160.689140890105
"Harwinton",1177,180.925398990855
"Kent",564,150.947010569935
"Litchfield",1889,225.643524170316
"Morris",498,89.6214260096323
"New Hartford",1675,296.87539473658
"New Milford",6523,513.669154222832
"Norfolk",311,71.7007670809734
"North Canaan",642,170.10878872063
"Plymouth",2669,304.39448089609
"Roxbury",394,93.8722536216107
"Salisbury",611,183.951080453473
"Sharon",412,114.232219623012
"Thomaston",1548,223.127766089297
"Torrington",7141,522.142700801227
"Warren",312,65.4140657657052
"Washington",671,134.562253251051
"Watertown",4741,490.257075420641
"Winchester",2354,389.715280685785
"Woodbury",2078,282.609270902425
"Chester",881,177.375308315447
"Clinton",2810,322.724340575668
"Cromwell",2730,329.437399212658
"Deep River",880,185.975804877946
"Durham",1919,285.90208113968
"East Haddam",2284,296.368014468498
"East Hampton",2912,327.52709811556
"Essex",1324,261.210642968467
"Haddam",1913,306.915297761451
"Killingworth",1425,231.922400815445
"Middlefield",1031,172.031973772319
"Middletown",8646,556.545595616388
"Old Saybrook",2281,316.572266631175
"Portland",1942,285.029823001033
"Westbrook",1208,237.242491978145
"Ansonia",4311,602.54045507335
"Beacon Falls",1362,258.056195430375
"Bethany",1416,201.725060416399
"Branford",4973,463.856658893672
"Cheshire",6482,506.301293697735
"Derby",2733,409.588818206747
"East Haven",5623,534.818660856182
"Guilford",4952,465.601761165054
"Hamden",11929,739.85539127589
"Madison",4954,448.721517201928
"Meriden",13322,791.141580249705
"Middlebury",1665,222.216111027081
"Milford",10752,641.803708309636
"Naugatuck",7175,658.883145937123
"New Haven",28708,1110.21844697339
"North Branford",3098,414.84575446785
"North Haven",4686,414.470746856759
"Orange",3262,321.438952213325
"Oxford",3086,396.204492654992
"Prospect",1963,308.585482484189
"Seymour",3746,414.243889514378
"Southbury",4220,415.752330119748
"Wallingford",9404,621.625289060862
"Waterbury",27646,1149.06875338249
"West Haven",11947,829.764424400082
"Wolcott",3572,411.350215752952
"Woodbridge",2089,304.548846656821
"Bozrah",578,101.6267681273
"Colchester",4202,388.35421975305
"East Lyme",3638,364.369318137518
"Franklin",413,57.3061951275776
"Griswold",2628,390.447179526245
"Groton",8373,562.947599692902
"Lebanon",1527,232.639205638259
"Ledyard",3605,378.765098708949
"Lisbon",980,174.69974241538
"Lyme",480,109.338922621361
"Montville",4020,464.606284933814
"New London",5462,508.514503234667
"North Stonington",1097,227.107903869504
"Norwich",9195,668.042663308265
"Old Lyme",1489,220.12269306003
"Preston",964,182.263545449988
"Salem",1048,150.721597656076
"Sprague",650,135.742403102347
"Stonington",3551,326.205456729344
"Voluntown",524,100.752171192486
"Waterford",3850,376.775795400925
"Andover",754,144.357195871907
"Bolton",931,149.649590711101
"Columbia",1154,210.777133484636
"Coventry",2519,380.424762600964
"Ellington",4067,488.981594745651
"Hebron",2533,287.643877042429
"Mansfield",2938,352.620192274918
"Somers",2226,262.215560179025
"Stafford",2605,323.012383663537
"Tolland",3946,399.909989872721
"Union",208,68.6731388535576
"Vernon",5242,478.940497348053
"Willington",1014,239.148489437002
"Ashford",925,171.991278848667
"Brooklyn",1845,302.243279495178
"Canterbury",1170,227.543402453246
"Chaplin",531,120.900785770813
"Eastford",340,60.654760736483
"Hampton",333,66.6783323126786
"Killingly",3650,391.507343481575
"Plainfield",3348,396.475724351441
"Pomfret",1046,226.492825493436
"Putnam",2321,336.090761551102
"Scotland",411,81.7129120763665
"Sterling",1038,229.392676430613
"Thompson",1954,290.647552888374
"Windham",4986,419.460367615345
"Woodstock",1853,315.615272127316
