"Town","Total Population 1-2x FPL Level","90% MoE"
"Connecticut",444821,8127.19724136187
"Bethel",2051,492.838716011638
"Bridgeport",33707,2168.85753335714
"Brookfield",808,222.842994056353
"Danbury",13468,1721.03834936936
"Darien",365,186.504691629996
"Easton",122,78.3198569968051
"Fairfield",3409,544.877967989164
"Greenwich",4395,699.762102431962
"Monroe",1750,563.725997271724
"New Canaan",942,424.618652440045
"New Fairfield",963,320.957941169867
"Newtown",2484,554.10017144917
"Norwalk",9932,1281.66259210449
"Redding",311,142.140775289851
"Ridgefield",1014,333.400659867373
"Shelton",2587,556.231067093524
"Sherman",211,123.430142185772
"Stamford",18976,1857.31095942494
"Stratford",7109,1086.77734610177
"Trumbull",2223,497.424366110065
"Weston",174,112.87160847618
"Westport",859,328.164592849381
"Wilton",684,224.100423917493
"Avon",830,260.626169062126
"Berlin",1569,510.412578214918
"Bloomfield",2387,763.845534123228
"Bristol",8545,1224.43701348824
"Burlington",402,154.175224987674
"Canton",593,220.449540711701
"East Granby",328,158.959114240109
"East Hartford",10326,1387.91318172283
"East Windsor",1609,590.607314550032
"Enfield",4166,665.938435592961
"Farmington",1346,344.59541494338
"Glastonbury",2587,497.499748743655
"Granby",476,170.768849618424
"Hartford",30335,2123.67935432824
"Hartland",188,78.4729252672538
"Manchester",9142,1232.76112852409
"Marlborough",479,386.393581727233
"New Britain",16535,1507.90948004182
"Newington",2869,602.32383316618
"Plainville",2783,690.53095513525
"Rocky Hill",1968,538.830214446072
"Simsbury",1365,419.323264320023
"Southington",3469,566.033567909183
"South Windsor",1491,607.033771712909
"Suffield",749,275.804278429469
"West Hartford",6188,849.355638116331
"Wethersfield",2369,468.152752848897
"Windsor",2579,553.32630517625
"Windsor Locks",1188,330.535928455592
"Barkhamsted",89,59.916608715781
"Bethlehem",422,232.746643369996
"Bridgewater",257,107.865657185223
"Canaan",178,69.7567201063811
"Colebrook",157,76.1183289359403
"Cornwall",168,56.859475903318
"Goshen",235,120.041659435381
"Harwinton",356,168.419120054702
"Kent",375,181.694799044992
"Litchfield",831,229.076406467362
"Morris",289,115.477270490777
"New Hartford",519,199.904977426776
"New Milford",2798,676.996307227743
"Norfolk",224,98.3717439105356
"North Canaan",571,259.582356873498
"Plymouth",1473,446.209592008061
"Roxbury",163,79.3158243984137
"Salisbury",456,219.834028303172
"Sharon",462,193.020724275918
"Thomaston",731,230.11084285622
"Torrington",5957,762.722754347869
"Warren",112,57.7754273026172
"Washington",190,123.312610871719
"Watertown",1862,449.543101381836
"Winchester",1817,520.720654478003
"Woodbury",869,284.996491206471
"Chester",387,162.422289110824
"Clinton",1638,443.068843409238
"Cromwell",1263,403.053346345121
"Deep River",734,412.565146370849
"Durham",259,187.152344361485
"East Haddam",679,269.03903062567
"East Hampton",714,267.394839142419
"Essex",442,206.59622455408
"Haddam",401,280.811324557967
"Killingworth",385,200.783465454703
"Middlefield",426,176.680502602862
"Middletown",5622,809.24285600801
"Old Saybrook",1332,502.774303241524
"Portland",519,168.347854159178
"Westbrook",1204,483.074528411507
"Ansonia",3075,836.92413037264
"Beacon Falls",450,203.639387152879
"Bethany",149,84.3267454607374
"Branford",2449,480.967774388264
"Cheshire",995,259.256629616293
"Derby",1838,637.814236278871
"East Haven",3763,769.106624597656
"Guilford",1282,355.58121435194
"Hamden",6859,944.490338754187
"Madison",1347,336.364385748551
"Meriden",11243,1239.70682017967
"Middlebury",661,298.841094898275
"Milford",5480,846.490992273397
"Naugatuck",3974,794.443830613593
"New Haven",26395,2085.00959230407
"North Branford",1413,549.163909957674
"North Haven",1387,407.212475250943
"Orange",624,199.471802518551
"Oxford",527,247.959674140776
"Prospect",565,199.827425545144
"Seymour",1470,373.827500326019
"Southbury",2030,520.464215868872
"Wallingford",3709,604.164712640518
"Waterbury",22344,1738.78520812664
"West Haven",10106,1302.83153170316
"Wolcott",1071,338.49963072358
"Woodbridge",540,251.324491444825
"Bozrah",281,148.364416218984
"Colchester",1412,427.147515502549
"East Lyme",1274,263.986742091341
"Franklin",162,65.2073615476044
"Griswold",1945,582.770109048156
"Groton",5397,817.828221572232
"Lebanon",563,233.36237914454
"Ledyard",1069,445.559199209263
"Lisbon",524,209.630627533288
"Lyme",290,191.14654064356
"Montville",2003,575.946178040969
"New London",4777,797.576955534699
"North Stonington",829,450.433124892031
"Norwich",7240,1103.15366110076
"Old Lyme",626,226.755374798482
"Preston",745,364.982191346372
"Salem",242,122.596900450215
"Sprague",238,125.78553175942
"Stonington",1879,507.179455419874
"Voluntown",295,153.931803081754
"Waterford",1680,428.310634936841
"Andover",272,123.65678307315
"Bolton",313,132.872118971589
"Columbia",621,435.922011373594
"Coventry",822,287.925337544302
"Ellington",1261,542.720001474057
"Hebron",606,273.060432871553
"Mansfield",1554,474.431238431872
"Somers",619,241.049787388415
"Stafford",1494,434.240716653793
"Tolland",886,347.588837565305
"Union",65,44.0567815438214
"Vernon",3700,663.177201055645
"Willington",733,314.682379551191
"Ashford",685,371.513122244693
"Brooklyn",1388,546.767775202599
"Canterbury",346,137.222447143315
"Chaplin",194,97.7292177396299
"Eastford",121,49.4267134250296
"Hampton",141,52.9150262212918
"Killingly",2899,571.354530917538
"Plainfield",1598,423.485536943117
"Pomfret",203,112.040171367238
"Putnam",2478,593.005059000343
"Scotland",229,111.004504413109
"Sterling",541,267.30319863406
"Thompson",1302,385.816018329981
"Windham",4947,768.970090445656
"Woodstock",615,263.816223913542
