"Town","Total Population","MoE Total Population","Ages 0-17","MoE Ages 0-17","Pct Ages 0-17","MoE Pct Ages 0-17","Ages 65+","MoE Ages 65+","Pct Ages 65+","MoE Pct Ages 65+","Hispanic Population","MoE Hispanic Population","Pct Hispanic","MoE Pct Hispanic","White Population","MoE White Population","Pct White","MoE Pct White","Black Population","MoE Black Population","Pct Black","MoE Pct Black","Other Race Population","MoE Other Race Population","Pct Other Race","MoE Pct Other Race","Homeowners","MoE Homeowners","Homeownership Rate","MoE Homeownership Rate","Foreign-born Population","MoE Foreign-born Population","Pct Foreign-born","MoE Pct Foreign-born","Poverty Status Determined","MoE Poverty Status Determined","Population in Poverty","MoE Population in Poverty","Poverty Rate","MoE Poverty Rate","Population Low Income","MoE Population Low Income","Pct Low Income","MoE Pct Low Income","Ages 0-17 In Poverty","MoE Ages 0-17 In Poverty","Pct Ages 0-17 in Poverty","MoE Pct Ages 0-17 in Poverty","Ages 0-17 Income 1-2x Poverty","MoE Ages 0-17 Income 1-2x Poverty","Pct Ages 0-17 Income 1-2x Poverty","MoE Pct Ages 0-17 Income 1-2x Poverty","Ages 65+ In Poverty","MoE Ages 65+ In Poverty","Pct Ages 65+ in Poverty","MoE Pct Ages 65+ in Poverty","Ages 65+ Income 1-2x Poverty","MoE Ages 65+ Income 1-2x Poverty","Pct Ages 65+ Income 1-2x Poverty","MoE Pct Ages 65+ Income 1-2x Poverty"
"Connecticut",3583561,0,804045,3326,0.224,0.001,520284,3749,0.145,0.001,496939,0,0.139,0,2526401,1229,0.705,0,337758,1896,0.094,0.001,222463,2770,0.062,0.001,919488,4857,0.678,0.003,487187,5945,0.136,0.002,3473255,649,354348,6822,0.102,0.002,444821,8127,0.128,0.002,107794,2985,0.136,0.004,119785,3000,0.151,0.004,33788,1216,0.068,0.002,88374,1943,0.178,0.004
"Bethel",18887,29,4375,417,0.232,0.022,2560,286,0.136,0.015,1629,514,0.086,0.027,15780,558,0.835,0.03,251,138,0.013,0.007,1227,317,0.065,0.017,5225,258,0.766,0.027,2277,387,0.121,0.02,18708,127,732,246,0.039,0.013,2051,493,0.11,0.026,236,112,0.054,0.026,613,171,0.14,0.041,115,70,0.048,0.03,334,146,0.139,0.063
"Bridgeport",145587,59,37254,1211,0.256,0.008,14216,724,0.098,0.005,55758,1633,0.383,0.011,32697,1505,0.225,0.01,49030,1536,0.337,0.011,8102,1242,0.056,0.009,21001,712,0.417,0.013,39581,1728,0.272,0.012,141441,430,33015,2289,0.233,0.016,33707,2169,0.238,0.015,12174,1069,0.332,0.031,11030,884,0.301,0.026,2238,340,0.164,0.026,3609,411,0.265,0.033
"Brookfield",16614,28,3768,427,0.227,0.026,2531,307,0.152,0.019,661,262,0.04,0.016,14758,415,0.888,0.025,73,80,0.004,0.005,1122,348,0.068,0.021,5041,337,0.854,0.044,1538,290,0.093,0.017,16596,48,424,267,0.026,0.016,808,223,0.049,0.013,33,62,0.009,0.016,105,89,0.028,0.024,37,44,0.015,0.018,324,135,0.129,0.056
"Danbury",81967,54,16806,907,0.205,0.011,9722,637,0.119,0.008,21989,1517,0.268,0.019,46441,1574,0.567,0.019,4781,805,0.058,0.01,8756,1049,0.107,0.013,17999,707,0.613,0.019,26626,1658,0.325,0.02,78545,410,8293,1197,0.106,0.015,13468,1721,0.171,0.022,1964,460,0.119,0.028,3854,636,0.233,0.04,889,223,0.096,0.025,1688,285,0.182,0.033
"Darien",20925,60,7460,465,0.357,0.022,2425,221,0.116,0.011,622,210,0.03,0.01,19178,410,0.917,0.02,55,52,0.003,0.002,1070,379,0.051,0.018,5690,227,0.876,0.022,2080,293,0.099,0.014,20853,79,1386,546,0.066,0.026,365,187,0.018,0.009,531,240,0.071,0.033,67,102,0.009,0.014,59,46,0.025,0.019,99,68,0.041,0.029
"Easton",7550,31,2044,240,0.271,0.032,1217,182,0.161,0.024,273,135,0.036,0.018,7002,195,0.927,0.026,36,50,0.005,0.007,239,150,0.032,0.02,2461,118,0.96,0.023,877,210,0.116,0.028,7550,31,159,95,0.021,0.013,122,78,0.016,0.01,35,57,0.017,0.028,27,64,0.013,0.031,19,41,0.016,0.034,53,52,0.044,0.043
"Fairfield",60126,43,15677,704,0.261,0.012,8727,451,0.145,0.008,3067,480,0.051,0.008,51886,830,0.863,0.014,821,194,0.014,0.003,4352,580,0.072,0.01,16588,434,0.822,0.013,6019,501,0.1,0.008,55227,589,2577,514,0.047,0.009,3409,545,0.062,0.01,693,197,0.045,0.013,785,205,0.051,0.013,317,104,0.04,0.013,1077,198,0.137,0.026
"Greenwich",61733,39,16547,757,0.268,0.012,9551,522,0.155,0.008,6458,879,0.105,0.014,48153,1073,0.78,0.017,996,328,0.016,0.005,6126,850,0.099,0.014,15391,493,0.697,0.018,13513,987,0.219,0.016,61242,159,2665,473,0.044,0.008,4395,700,0.072,0.011,506,153,0.031,0.009,1229,286,0.075,0.018,284,93,0.031,0.01,813,174,0.089,0.02
"Monroe",19631,32,5179,473,0.264,0.024,2678,330,0.136,0.017,1299,454,0.066,0.023,17469,647,0.89,0.033,145,196,0.007,0.01,718,389,0.037,0.02,6137,222,0.921,0.021,1501,351,0.076,0.018,19611,46,1000,455,0.051,0.023,1750,564,0.089,0.029,389,191,0.075,0.038,506,215,0.098,0.042,131,78,0.049,0.03,463,169,0.173,0.066
